Gene Name,Annotation,Accession #,Class Name,20160816_bath study 30hpf 13-04 samples 25-36_  _01.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _02.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _03.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _04.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _05.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _06.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _07.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _08.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _09.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _10.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _11.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _12.RCC
kita,,NM_131053.1,Endogenous,11,3,127749,8,7,11,76628,1,1,31,32,3
ltk,,XM_005158786.2,Endogenous,33,34,58,15,6,20,33,29,1,16,9,12
mbpa,,XM_002665557.1,Endogenous,7429,24,30,29,223,61,221,28,1,10,10,386
mc1r,,NM_180970.1,Endogenous,11987,6,7565,4335,13139,37,12,1,4,972,6129,7
mitfa,,NM_130923.1,Endogenous,10918,9,45217,3,3,5,9149,1,2,14997,20669,10150
mlphb,,NM_001079679.1,Endogenous,5,1,145721,54410,5,6,89383,1,1,2,1,1
mycl1a,,NM_212937.1,Endogenous,11,1,29997,1,1,9943,12,1,5,7898,3,2799
myo5aa,,XM_009293794.1,Endogenous,5331,34691,49039,1,1,3,7729,1,2,7,6,4279
oca2,,XM_690715.7,Endogenous,1834,1,91469,12,1,2,64000,1,1,1,4,1
otx2,,NM_131251.1,Endogenous,37545,2,24158,4,1,29740,22121,2,22491,2,9821,23432
pax3_v2,,XM_005163543.2,Endogenous,24,2,24,1,2,6,1841,1,3,3,4,2
pax7a,,NM_131326.1,Endogenous,36,99059,28,66812,5,17,27,71322,1,11,7,5
pax7b,,NM_001146149.1,Endogenous,16504,34403,7257,17682,14,3412,8108,17374,13069,18,8634,3072
phox2b,,NM_001014818.1,Endogenous,5688,121,9627,103,36582,11077,5976,107,8,6182,9987,653
pnp4a,,NM_001002102.1,Endogenous,55,26,3673,21,18,30,844,23,10,20,14,7
rpl13,,NM_198143.1,Endogenous,142591,62376,177839,75781,52155,147893,99368,85434,2,122924,67774,57469
silva,,NM_001045330.1,Endogenous,8755,1,28999,9075,1,1,62,2,3,1,1,1
slc24a5,,NM_001030280.1,Endogenous,38,3,112255,7,25,31,47306,1,1,1,1,9
smad9,,NM_001004014.1,Endogenous,73,23,88,28,13,29,73,24,1,19,7,5
snail2,,XR_661767.1,Endogenous,31801,3,11,1,1,10,11298,1,13036,2,33428,5973
sox10,,NM_131875.1,Endogenous,14898,2,9946,12671,7561,2419,11197,1,1,2662,2841,1
sox5,,NM_001033585.1,Endogenous,32,28,44,38,17,22,19,12,10,26,19,8
sox9b,,NM_131644.1,Endogenous,157,1,6672,23,6,2197,117,1,1,2,23450,340
tfap2a,,NM_176859.2,Endogenous,27769,4,39671,1,3,4877,9681,1,1,3393,921,4
tfap2e,,NM_200821.1,Endogenous,5343,6596,16415,16,5,11,6387,30,3,10,301,5
tfec,,NM_001030105.2,Endogenous,2597,288,40,8,8,53,22,1,1,1,3,2
tyr,,NM_131013.1,Endogenous,5355,14737,46371,6,7,1925,12027,2425,1,1704,1,548
tyrp1b,,NM_001002749.1,Endogenous,96052,30,275526,25,7,34,178093,32,4,31,10,10
NEG_A,,ERCC_00096.1,Negative,14,11,13,16,3,2,6,11,5,6,3,4
NEG_B,,ERCC_00041.1,Negative,5,12,8,3,2,7,8,12,4,3,1,1
NEG_C,,ERCC_00019.1,Negative,1,1,5,4,1,2,9,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,5,2,5,4,1,1,8,1,1,2,1,2
NEG_E,,ERCC_00098.1,Negative,18,9,7,11,6,8,6,8,6,5,1,4
NEG_F,,ERCC_00126.1,Negative,20,11,33,14,4,24,21,19,1,20,12,9
NEG_G,,ERCC_00144.1,Negative,4,1,5,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,15,7,6,3,17,4,10,14,15,6,10,2
POS_A,,ERCC_00117.1,Positive,28038,24337,11729,22316,25743,26014,22136,22158,20585,27639,26133,18738
POS_B,,ERCC_00112.1,Positive,7618,6638,3160,6098,7060,7206,6047,6343,5832,7684,6981,5185
POS_C,,ERCC_00002.1,Positive,2149,1794,913,1670,2075,2176,1691,1747,1553,2182,1915,1524
POS_D,,ERCC_00092.1,Positive,496,457,181,418,432,420,431,435,357,498,502,310
POS_E,,ERCC_00035.1,Positive,63,76,39,44,75,99,57,62,63,95,85,52
POS_F,,ERCC_00034.1,Positive,41,35,19,25,29,27,28,15,17,30,34,24
