Gene Name,Annotation,Accession #,Class Name,20160727_bath study 72hpf stripB 15-04-16_  _01.RCC,20160727_bath study 72hpf stripB 15-04-16_ _02.RCC,20160727_bath study 72hpf stripB 15-04-16_ _03.RCC,20160727_bath study 72hpf stripB 15-04-16_ _04.RCC,20160727_bath study 72hpf stripB 15-04-16_ _05.RCC,20160727_bath study 72hpf stripB 15-04-16_ _06.RCC,20160727_bath study 72hpf stripB 15-04-16_ _07.RCC,20160727_bath study 72hpf stripB 15-04-16_ _08.RCC,20160727_bath study 72hpf stripB 15-04-16_ _09.RCC,20160727_bath study 72hpf stripB 15-04-16_ _10.RCC,20160727_bath study 72hpf stripB 15-04-16_ _11.RCC,20160727_bath study 72hpf stripB 15-04-16_ _12.RCC
tyrp1b,,NM_001002749.1,Endogenous,19,18,17,33,23,30,9,1,21,21,26,28
NEG_A,,ERCC_00096.1,Negative,4,6,5,10,2,10,11,2,8,4,6,8
NEG_B,,ERCC_00041.1,Negative,1,1,2,4,1,3,3,2,2,7,5,4
NEG_C,,ERCC_00019.1,Negative,1,1,1,2,1,2,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,2,2,4,6,1,2,2,1,1,1,3,2
NEG_E,,ERCC_00098.1,Negative,3,4,8,8,5,5,10,5,2,9,9,6
NEG_F,,ERCC_00126.1,Negative,13,10,12,10,13,14,8,4,12,28,13,13
NEG_G,,ERCC_00144.1,Negative,1,1,1,4,3,3,1,1,1,1,1,2
NEG_H,,ERCC_00154.1,Negative,3,12,6,3,7,4,8,5,4,6,5,5
POS_A,,ERCC_00117.1,Positive,18561,22212,23426,16404,18371,13617,18225,19264,17800,17656,16766,14130
POS_B,,ERCC_00112.1,Positive,4848,5709,5917,4115,4589,3433,4585,4795,4392,4521,4160,3426
POS_C,,ERCC_00002.1,Positive,1429,1618,1596,1111,1367,1011,1273,1375,1298,1271,1164,1020
POS_D,,ERCC_00092.1,Positive,329,344,342,237,336,257,294,300,305,295,278,207
POS_E,,ERCC_00035.1,Positive,44,67,63,53,59,33,54,64,58,43,55,49
POS_F,,ERCC_00034.1,Positive,32,22,21,32,20,22,15,22,21,22,19,21
