Gene Name,Accession #,Class Name,20160525_bath study 21hpf  22_03_16  1-12_ 10 _10.RCC,20160525_bath study 21hpf -03-  1-12_ 11_11.RCC,20160525_bath study 21hpf -03-  1-12_ 12_12.RCC,20160525_bath study 21hpf -03-  1-12_ 1_01.RCC,20160525_bath study 21hpf -03-  1-12_ 2_02.RCC,20160525_bath study 21hpf -03-  1-12_ 3_03.RCC,20160525_bath study 21hpf -03-  1-12_ 4_04.RCC,20160525_bath study 21hpf -03-  1-12_ 5_05.RCC,20160525_bath study 21hpf -03-  1-12_ 6_06.RCC,20160525_bath study 21hpf -03-  1-12_ 7_07.RCC,20160525_bath study 21hpf -03-  1-12_ 8_08.RCC,20160525_bath study 21hpf -03-  1-12_ 9_09.RCC
mc1r,NM_180970.1,Endogenous,3,4,12,1,1,4,1,10,1,1,19,2
mitfa,NM_130923.1,Endogenous,2,3,55079,1,1,1,1,18,1,1,79335,1
mlphb,NM_001079679.1,Endogenous,21,47258,1,1,1,7,1,1,1,1,1,1
mycl1a,NM_212937.1,Endogenous,1,1,3,1,1,1,1,72,1,1,6,1
myo5aa,XM_009293794.1,Endogenous,1,2,22,1,1,2,1,11,1,1,19,2
oca2,XM_690715.7,Endogenous,10,26,1,1,1,6,1,1,1,1,1,1
otx2,NM_131251.1,Endogenous,16,7,6,1,1,1,2,31,1,1,15,1
pax3_v2,XM_005163543.2,Endogenous,2092,5275,12,1,1,1,1,16,1,1,11,1
pax7a,NM_131326.1,Endogenous,47,78557,16,1,27,27,10,24,19,31,1,21
pax7b,NM_001146149.1,Endogenous,81,102,32,3,48,70,29,43,28,58,1,44
phox2b,NM_001014818.1,Endogenous,408,161,62,26,78,135,47,83,37,38,15,99
pnp4a,NM_001002102.1,Endogenous,195320,64775,41,21,42,41,49,52,56,36,23,100
rpl13,NM_198143.1,Endogenous,244819,268918,164346,14231,175908,237502,122128,198741,137603,317315,1,205316
silva,NM_001045330.1,Endogenous,12,28,1,1,1,4,1,1,1,1,1,1
slc24a5,NM_001030280.1,Endogenous,16,18,1,1,1,2905,1,1,1,1,1,1
smad9,NM_001004014.1,Endogenous,83,91,27,3,37,16349,31,41,29,84,1,39
snail2,XR_661767.1,Endogenous,3,1,11,1,2,3,1,19,1,2,17,3
sox10,NM_131875.1,Endogenous,58,70632,1,1,1,33088,1,2,1,2,1,2
sox5,NM_001033585.1,Endogenous,248,122,54,23,56,53,57,52,51,48,29,104
sox9b,NM_131644.1,Endogenous,47,42,4,1,1,26359,1,1,1,1,2,1
tfap2a,NM_176859.2,Endogenous,2,4,15,1,1,1,1,15,2,1,20,1
tfap2e,NM_200821.1,Endogenous,64,54,13,4,27,34,24,35,21,50,2,33
tfec,NM_001030105.2,Endogenous,195636,132722,1,1,1,17,1,1,1,1,1,1
tyr,NM_131013.1,Endogenous,10,14,2,1,1,8,1,1,1,1,1,1
tyrp1b,NM_001002749.1,Endogenous,86,104,36,1,29,81,26,58,25,78,1,46
NEG_A,ERCC_00096.1,Negative,67,26,15,11,13,20,12,17,11,10,15,22
NEG_B,ERCC_00041.1,Negative,11,21,6,3,5,8,9,8,6,14,3,13
NEG_C,ERCC_00019.1,Negative,1,5,4,1,1,4,1,1,2,4,2,1
NEG_D,ERCC_00076.1,Negative,12,18,1,1,2,3,1,2,1,2,1,1
NEG_E,ERCC_00098.1,Negative,41,27,17,14,17,13,17,22,14,13,11,23
NEG_F,ERCC_00126.1,Negative,56,57,43,10,23,47,28,28,32,47,4,40
NEG_G,ERCC_00144.1,Negative,1,1,7,1,1,2,1,3,1,1,4,1
NEG_H,ERCC_00154.1,Negative,1,2,8,1,2,1,6,4,1,3,10,11
POS_A,ERCC_00117.1,Positive,23950,25001,30941,28466,25077,27820,32809,30857,28033,33468,32988,32596
POS_B,ERCC_00112.1,Positive,7571,8499,10295,9231,7861,8898,10451,10306,8991,9639,9805,10671
POS_C,ERCC_00002.1,Positive,2254,2481,2924,2684,2307,2678,3222,2946,2647,2849,2873,3099
POS_D,ERCC_00092.1,Positive,507,612,690,600,527,596,720,628,602,668,675,671
POS_E,ERCC_00035.1,Positive,94,95,79,99,96,95,94,104,85,114,98,94
POS_F,ERCC_00034.1,Positive,127,73,63,42,37,38,59,45,42,71,42,75
