Gene Name,Annotation,Accession #,Class Name,20161006_bath study IP 15-09-16 strip D_ _01.RCC,20161006_bath study  IP 15-09-16 strip D_ _02.RCC,20161006_bath study  IP 15-09-16 strip D_ _03.RCC,20161006_bath study  IP 15-09-16 strip D_ _04.RCC,20161006_bath study  IP 15-09-16 strip D_ _05.RCC,20161006_bath study  IP 15-09-16 strip D_ _06.RCC,20161006_bath study  IP 15-09-16 strip D_ _07.RCC,20161006_bath study  IP 15-09-16 strip D_ _08.RCC,20161006_bath study  IP 15-09-16 strip D_ _09.RCC,20161006_bath study  IP 15-09-16 strip D_ _10.RCC,20161006_bath study  IP 15-09-16 strip D_ _11.RCC,20161006_bath study  IP 15-09-16 strip D_ _12.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _1.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _2.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _3.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _4.RCC,20161005_bath study IP 15-09-16 strip B_ _01.RCC,20161005_bath study IP 15-09-16 strip B_ _02.RCC,20160728_bath study  mixed 12-07-16_ 9_09.RCC,20160728_bath study mixed 12-07-16_ 10 _10.RCC,20160728_bath study mixed 12-07-16_ 11_11.RCC,20160728_bath study mixed 12-07-16_ 12_12.RCC,20161007_bath study IP 15-09-16 strip e_ _01.RCC,20161007_bath study IP 15-09-16 strip e_ _02.RCC,20161007_bath study IP 15-09-16 strip e_ _03.RCC,20161007_bath study IP 15-09-16 strip e_ _04.RCC,20161007_bath study IP 15-09-16 strip e_ _05.RCC,20161007_bath study IP 15-09-16 strip e_ _06.RCC,20161007_bath study IP 15-09-16 strip e_ _07.RCC
foxo1a,,NM_001077257.2,Endogenous,3,15922,3,2,51382,1,48,14470,2,39325,7,33369,1,1,5524,12124,9021,1,1,467,41,375,28885,1,1,1,30447,27956,23463
foxo1b,,NM_001082857.1,Endogenous,1,230,4,3,7578,5335,10,1,2846,9427,2171,5344,1,1,1,4,13,1,41,76,129,1,4883,3364,4,6,2592,4687,3764
foxp4,,NM_001199491.1,Endogenous,95,43,127,76,124,13,79,49,71,48,35,80,4,1,49,74,181,36,2,5,1,1,82,43,52,9,118,77,93
gapdh,,NM_001115114.1,Endogenous,13,11,150,22,1490,12,318,4,243,1408,6,1046,1,1,86,8,23,2655,9,46,1,24,1120,6,61,118,1549,823,995
hbp1,,NM_001024431.1,Endogenous,28,41,55,16304,260,15,45,16,34,69,24,180,1,48,27,41,65,36,1,1,2,1,32,34,31,8,16298,78,64
her9,,NM_131873.1,Endogenous,15853,16504,12880,7229,12754,5943,3196,13752,19,11249,10225,7906,1840,1,7456,9581,381,12591,253,478,49,2,8872,6611,23982,3,8522,13199,7702
hmx1,,NM_001113526.1,Endogenous,1,1,18586,7,43556,4,21166,4383,2071,29804,3,30978,2818,1,1475,7719,1,1,229,260,282,1,16519,3,4747,127,27084,14450,20918
hmx4,,NM_001045371.1,Endogenous,33,14364,17524,37,23341,22,19604,17,7456,18152,12011,24227,3228,4,19,7381,75,28,414,338,376,1,15080,6665,16,3,23906,14072,15166
id2a,,NM_201291.1,Endogenous,25680,45870,67837,71604,64295,31506,31408,35441,9150,8,33648,24627,2,6352,13329,32655,46622,14139,680,4040,412,1276,30003,18412,61864,839,42480,24098,45427
impdh1b,,NM_001014369.2,Endogenous,110893,30004,100827,77459,150351,12,74599,84234,68679,38623,36399,97577,20068,9314,45639,66980,112512,35974,1267,4029,1271,417,96137,39917,68011,10993,159781,90946,121841
kita,,NM_131053.1,Endogenous,1,6806,4,2,6306,2,12190,1,5,15711,7413,18246,1,1,2,4,2188,1,219,157,298,67,18161,4,3203,10670,9206,11139,8703
ltk,,XM_005158786.2,Endogenous,15,3993,7896,22,13893,136,12553,11,5798,6,16,16359,1,1543,6402,9983,29227,21,75,369,76,11,8598,8969,9197,2443,15236,11993,14879
mbpa,,XM_002665557.1,Endogenous,11,433,14799,16,27772,27795,35,7825,4485,16786,26934,18531,1,1,13,15,27,15,7,554,158,184,16012,7,6562,3667,18967,17773,10149
mc1r,,NM_180970.1,Endogenous,23328,2849,13228,4,3003,34358,15149,131,196,38969,21957,33866,52,35,1,5852,38439,1,263,278,594,1,30410,3,5115,2,15911,19261,20451
mitfa,,NM_130923.1,Endogenous,1,290,4,2,3840,3953,1625,1,32,3022,3,3572,105,243,1,2565,4567,1,1,79,108,1,3868,17,1,1734,8,703,2075
mlphb,,NM_001079679.1,Endogenous,1,1,4,1,12,1,5,1,1,10,1,6,1,1,3,1,2,1,1,1,1,1,7,1,2,1,8,9,5
mycl1a,,NM_212937.1,Endogenous,3,7,3,2,7,3,1,1,4,10,3,7,1,1,1,1,20123,1,1,1,1,1,7,3,1,1,13960,7,5
myo5aa,,XM_009293794.1,Endogenous,2,4,8569,2,15,5,5,1,4,13,6,16,1,1,1,3,7,1,1,1,1,1,17,1,1,1,9,7583,5857
oca2,,XM_690715.7,Endogenous,1,1,1,2,4,1,7,1,166,3,2,6,1,1,1,1,2,1,1,1,1,1,6,1,2,1,4,6,3
otx2,,NM_131251.1,Endogenous,5,41569,16820,11441,22120,2,2996,1,20462,38550,37057,31166,1,2778,1,1000,2696,1,96,52,319,1,29350,17968,1,9867,36511,24083,23101
pax3_v2,,XM_005163543.2,Endogenous,13,9,5,9,7584,13,5,1,3,30,10,40,1,1,1,7,513,1,1,1,1,1,4827,1,1,3,92,15,15
pax7a,,NM_131326.1,Endogenous,9,3,15121,17,21712,25,11248,2,10345,89,230,180,1,1,7299,11849,27178,10,1,1,1,1,180,12771,9667,1,17606,26527,9948
pax7b,,NM_001146149.1,Endogenous,13429,20,26,23,19337,17,45,14,3092,12,14087,8989,75,1,342,5380,28,20,43,568,3,1,12274,7,10448,2,69,10865,15011
phox2b,,NM_001014818.1,Endogenous,85,40,80,14464,117,9,913,9048,43,24412,37,20674,3,2,6187,73,24859,44,230,382,311,2,12926,29,56,15,19145,12165,15307
pnp4a,,NM_001002102.1,Endogenous,21866,56089,75960,49203,58679,47934,111750,12352,76321,9,10,41266,4653,3282,58188,86700,57205,19,1229,6109,1666,748,23032,24885,64033,1,40520,69675,47770
rpl13,,NM_198143.1,Endogenous,89670,73434,89478,107450,105167,50799,55118,67728,19712,10421,61322,46117,1782,1,53792,67554,67565,132677,1851,10154,1176,594,42450,37148,65188,10980,83144,66124,50546
silva,,NM_001045330.1,Endogenous,1,16,2,3,67,1,3,2,2,5,1,74,1,1,1,1,4,1,1,1,3,1,35,1,1,4,5,6,6
slc24a5,,NM_001030280.1,Endogenous,1,1,5,4,20,1,467,1,2,22,2,15,1,1,1,4,270,1,1,1,1,1,7,1,2,114,14,11,8
smad9,,NM_001004014.1,Endogenous,26,17,22,12740,16710,19,8,7,15,9,15,12,1,1,10,21,45,13,1,2,1,1,16670,9,11,2,13599,15,16
snail2,,XR_661767.1,Endogenous,1,1,3,395,16485,3,75,1,2,9888,3,13916,3216,1,3843,4786,12,1,1,235,143,1,17925,1,1,1,21109,5,12811
sox10,,NM_131875.1,Endogenous,6579,1,5781,6,14651,4,4772,1,1,11,6,10735,1,1,1,6251,11025,1,265,144,1,1,9804,4454,2,1,9298,9865,4569
sox5,,NM_001033585.1,Endogenous,38,46,71,37,47,35,84,15,57,9,9,41,2,1,30,65,70,14,4,5,4,1,28,30,38,2,42,42,35
sox9b,,NM_131644.1,Endogenous,1,1,3,15230,3,1,13571,34,1,22888,1,7456,1,1,1,2,1,1,1,281,167,1,11888,1,2,1,5,16965,15369
tfap2a,,NM_176859.2,Endogenous,5,8,4,17884,22237,12,17187,1,7218,22699,12,19427,1,1,1,9057,175,1,151,191,477,1,17765,1,14,1,17712,17919,12186
tfap2e,,NM_200821.1,Endogenous,18,10,17,11,20,6,4,2,8,6,7,6093,1,1,5,11,38,13,1,1,85,1,5632,6,11,1,21,19,6360
tfec,,NM_001030105.2,Endogenous,15,1,7127,46738,50655,22973,22594,1,836,50613,24998,43701,3345,10,3969,23612,62556,20,1,693,478,1,24648,3,5228,1,57630,45597,19238
tyr,,NM_131013.1,Endogenous,2,1,7,4,12363,1,4581,1,1,29,3,10777,1,1,2120,1,11,1,1,138,1,1,9529,2,1,1,5520,11148,7888
tyrp1b,,NM_001002749.1,Endogenous,24,21,15,33,38,16,14,12,2,10,22,12,1,1,19,19,24590,25,1,2,1,1,19,10,16,3,42,16,35
NEG_A,,ERCC_00096.1,Negative,12,7,11,10,13,2,6,3,9,6,2,13,1,1,7,6,1,5,1,2,1,1,8,4,2,1,14,7,3
NEG_B,,ERCC_00041.1,Negative,3,3,3,2,5,1,2,1,1,1,5,3,1,1,2,7,1,3,1,1,1,1,3,2,2,1,3,3,1
NEG_C,,ERCC_00019.1,Negative,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,1,1,3,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3
NEG_E,,ERCC_00098.1,Negative,5,9,9,4,12,2,9,4,7,5,4,13,1,1,5,5,1,3,1,1,1,1,4,1,5,4,12,7,6
NEG_F,,ERCC_00126.1,Negative,12,8,16,9,19,10,7,6,7,5,17,13,2,1,8,7,1,12,1,3,1,1,11,4,3,1,14,9,7
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,3,1,1,4,1,2,1,1,6,1,3,4,1,2,7,1,1,2,2,3,6,3,1,1,1,4,3,2
POS_A,,ERCC_00117.1,Positive,9864,8253,7994,9134,8310,10328,9092,7689,7499,9130,7540,7708,11714,8363,18675,18736,12132,18048,9993,9685,11805,12366,6864,7840,9931,7246,7194,7245,6581
POS_B,,ERCC_00112.1,Positive,2717,2219,2126,2503,2189,2746,2406,2046,2010,2413,2007,2076,3264,2116,4618,5009,3126,4809,2613,2353,3055,3157,1890,2138,2535,1962,2001,2040,1757
POS_C,,ERCC_00002.1,Positive,747,618,662,704,620,821,707,547,577,680,585,604,666,381,1339,1479,837,1294,696,656,809,812,546,611,708,610,608,559,489
POS_D,,ERCC_00092.1,Positive,195,142,133,168,167,204,174,145,150,176,127,132,224,143,337,348,209,317,164,155,181,196,149,144,156,145,139,156,124
POS_E,,ERCC_00035.1,Positive,23,25,15,31,33,31,25,30,17,29,24,22,24,23,57,66,43,65,29,22,30,41,38,24,26,25,29,28,20
POS_F,,ERCC_00034.1,Positive,14,20,39,15,36,18,34,12,26,13,15,19,11,3,25,46,15,27,9,11,10,14,23,17,23,5,10,22,20
