Gene Name,Annotation,Accession #,Class Name,20160722_bath study mc 12-07-16  1-12_ 3_03.RCC,20160722_bath study mc 12-07-16  1-12_ 4_04.RCC,20160722_bath study mc 12-07-16  1-12_ 11_11.RCC,20160722_bath study mc 12-07-16  1-12_ 12_12.RCC,20160728_bath study MC mixed 12-07-16_ 1_01.RCC,20160728_bath study MC mixed 12-07-16_ 2_02.RCC,20160728_bath study MC mixed 12-07-16_ 3_03.RCC,20160728_bath study MC mixed 12-07-16_ 4_04.RCC,20160728_bath study MC mixed 12-07-16_ 5_05.RCC,20160728_bath study MC mixed 12-07-16_ 6_06.RCC,20160728_bath study MC mixed 12-07-16_ 7_07.RCC,20160728_bath study MC mixed 12-07-16_ 8_08.RCC,20160803_bath mc  12-07-16 strip1_1 _01.RCC,20160803_bath mc  12-07-16 strip1_2 _02.RCC,20160803_bath mc  12-07-16 strip1_3 _03.RCC,20160803_bath mc  12-07-16 strip1_4 _04.RCC,20160803_bath mc  12-07-16 strip1_ 5_05.RCC,20160803_bath mc  12-07-16 strip1_ 6_06.RCC,20160803_bath mc  12-07-16 strip1_ 7_07.RCC,20160803_bath mc  12-07-16 strip1_ 8_08.RCC,20160803_bath mc  12-07-16 strip1_ 9_09.RCC,20160803_bath mc  12-07-16 strip1_10 _10.RCC,,,,,,,,,,,,,,,,,,,,,
pax7a,,NM_131326.1,Endogenous,16,1,1,9,1,72,3,18,4,32,14,24,2,1,1,1,1,12,1,1,55,11,,,,,,,,,,,,,,,,,,,,,
pax7b,,NM_001146149.1,Endogenous,23,1751,2529,597,3,13,574,1682,1106,495,358,28,1,2,1,1,3,2,1,7,13,146,,,,,,,,,,,,,,,,,,,,,
phox2b,,NM_001014818.1,Endogenous,6,4,6,4428,94,2154,634,652,664,254,562,455,1,1,3,1,2,2345,1540,5,4302,2986,,,,,,,,,,,,,,,,,,,,,
pnp4a,,NM_001002102.1,Endogenous,8,4,4,3,2149,2111,2,291,192,862,170,2788,1,1,1,1,1,5293,1,5,6,3,,,,,,,,,,,,,,,,,,,,,
rpl13,,NM_198143.1,Endogenous,39942,3990,7909,2456,29631,11054,24218,10566,18549,9755,13722,13522,29199,6553,5092,11728,4708,6707,21208,7146,9995,3393,,,,,,,,,,,,,,,,,,,,,
silva,,NM_001045330.1,Endogenous,27,8378,1,19878,11786,11505,418,7150,4403,7891,8403,12343,10604,7021,16267,5100,10048,13876,5210,9993,9147,7465,,,,,,,,,,,,,,,,,,,,,
slc24a5,,NM_001030280.1,Endogenous,24664,2560,2,13895,2,6746,1,2574,868,1720,3554,13614,3879,1322,3434,1867,1320,2634,3,2688,2642,1,,,,,,,,,,,,,,,,,,,,,
smad9,,NM_001004014.1,Endogenous,18,3,4,26,1,6,2,6,134,3,2,9,1,1,1,2,5,6,3,10,8,8,,,,,,,,,,,,,,,,,,,,,
snail2,,XR_661767.1,Endogenous,3,7,1,1,1,1527,307,492,122,255,284,263,1,1,1,1,1,1,1,1,1375,1,,,,,,,,,,,,,,,,,,,,,
sox10,,NM_131875.1,Endogenous,9595,3,1,2166,1,2,1,176,52,226,610,1242,707,1,1,1,599,3,1176,1,2,1,,,,,,,,,,,,,,,,,,,,,
sox5,,NM_001033585.1,Endogenous,9,6,2,9,9,5,1,2,1,1,1,3,1,1,1,1,1,3,5,6,2,5,,,,,,,,,,,,,,,,,,,,,
sox9b,,NM_131644.1,Endogenous,36,4,1,14,1,4,1,1,22,152,326,227,1,1,1,1,1,2,7,4,9,4,,,,,,,,,,,,,,,,,,,,,
tfap2a,,NM_176859.2,Endogenous,9,3518,5570,2799,1751,540,703,1223,1012,758,596,1632,1,1002,1,353,1,2921,1,1,3461,1,,,,,,,,,,,,,,,,,,,,,
tfap2e,,NM_200821.1,Endogenous,11,3,1,6,1,3,1,76,20,35,60,143,1,1,1259,1,1,10,3,4,1342,3,,,,,,,,,,,,,,,,,,,,,
tfec,,NM_001030105.2,Endogenous,1889,1,1,8,4,2510,245,852,1303,616,241,334,2217,2,1,2423,1,14,3,1,6,1,,,,,,,,,,,,,,,,,,,,,
tyr,,NM_131013.1,Endogenous,9787,2,1342,5674,1,1321,479,1947,739,2152,3796,6950,1,1622,5299,1291,2198,4054,1731,4,501,1744,,,,,,,,,,,,,,,,,,,,,
tyrp1b,,NM_001002749.1,Endogenous,61469,14040,3954,39810,21113,41359,2354,19339,10623,18310,23133,49674,7964,17105,15597,6892,24665,40329,7993,24692,27408,13749,,,,,,,,,,,,,,,,,,,,,
NEG_A,,ERCC_00096.1,Negative,5,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,
NEG_B,,ERCC_00041.1,Negative,4,1,2,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,,,,,,,,,,,,,,,,,,,,,
NEG_C,,ERCC_00019.1,Negative,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
NEG_D,,ERCC_00076.1,Negative,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,
NEG_E,,ERCC_00098.1,Negative,7,1,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,3,2,,,,,,,,,,,,,,,,,,,,,
NEG_F,,ERCC_00126.1,Negative,11,1,5,9,3,2,3,4,2,2,1,4,2,1,1,1,1,2,6,4,7,4,,,,,,,,,,,,,,,,,,,,,
NEG_G,,ERCC_00144.1,Negative,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
NEG_H,,ERCC_00154.1,Negative,16,5,8,3,5,3,1,6,1,5,2,3,3,3,4,3,1,7,4,3,3,8,,,,,,,,,,,,,,,,,,,,,
POS_A,,ERCC_00117.1,Positive,5635,11636,19420,14037,12838,7041,12774,12957,12678,12581,4287,8432,9610,6755,7763,6108,6000,6976,13269,12295,10661,11461,,,,,,,,,,,,,,,,,,,,,
POS_B,,ERCC_00112.1,Positive,1591,2991,5090,4064,3290,1929,3236,3418,3117,3140,1556,2163,2593,1803,2150,1705,1469,1908,3648,3562,2955,3303,,,,,,,,,,,,,,,,,,,,,
POS_C,,ERCC_00002.1,Positive,452,829,1474,1210,932,495,832,859,852,822,215,572,637,348,469,391,351,425,1065,986,886,928,,,,,,,,,,,,,,,,,,,,,
POS_D,,ERCC_00092.1,Positive,117,192,333,259,210,131,232,226,229,220,107,142,181,109,124,111,109,123,258,247,173,206,,,,,,,,,,,,,,,,,,,,,
POS_E,,ERCC_00035.1,Positive,15,30,52,38,43,22,41,43,42,40,11,18,33,21,16,14,11,10,46,29,35,27,,,,,,,,,,,,,,,,,,,,,
POS_F,,ERCC_00034.1,Positive,15,11,19,19,12,6,15,12,11,10,4,12,15,7,4,3,3,7,9,18,12,16,,,,,,,,,,,,,,,,,,,,,
