Gene Name,Annotation,Accession #,Class Name,20160907_bath study 60hpf strip 5 26-05_ _01.RCC,20160907_bath study 60hpf strip 5 26-05_ _02.RCC,20160907_bath study 60hpf strip 5 26-05_ _03.RCC,20160907_bath study 60hpf strip 5 26-05_ _04.RCC,20160907_bath study 60hpf strip 5 26-05_ _05.RCC,20160907_bath study 60hpf strip 5 26-05_ _06.RCC,20160907_bath study 60hpf strip 5 26-05_ _07.RCC,20160907_bath study 60hpf strip 5 26-05_ _08.RCC,20160907_bath study 60hpf strip 5 26-05_ _09.RCC,20160907_bath study 60hpf strip 5 26-05_ _10.RCC,20160907_bath study 60hpf strip 5 26-05_ _11.RCC,20160907_bath study 60hpf strip 5 26-05_ _12.RCC
id2a,,NM_201291.1,Endogenous,32368,17,77222,36563,48791,32803,31463,54073,49753,70464,18495,4865
impdh1b,,NM_001014369.2,Endogenous,27062,13270,28835,12361,38631,18571,38,27,31,13,10,5452
kita,,NM_131053.1,Endogenous,28320,5,22328,12891,69433,9076,7,19671,22652,10774,178,1
ltk,,XM_005158786.2,Endogenous,3165,21,17,42,3714,3571,838,1405,4585,4872,12,2242
mbpa,,XM_002665557.1,Endogenous,27916,9793,18280,15889,30229,15213,29927,15,31150,24232,593,8
mc1r,,NM_180970.1,Endogenous,53276,25813,48221,20859,456,22090,25571,33099,35271,6,2,17771
mitfa,,NM_130923.1,Endogenous,104,17,19,12340,272,4,5307,110,122,10274,4,3
mlphb,,NM_001079679.1,Endogenous,11,1,3,3,9,11,3,1,4,5,1,2
mycl1a,,NM_212937.1,Endogenous,19,31,8,1,7,14,10,10,15,16,1,5
myo5aa,,XM_009293794.1,Endogenous,16,7,11,8,8,3,7,10,11,3,12973,3
oca2,,XM_690715.7,Endogenous,13,1,4,5,9,5,2,1,13,2,1,4
otx2,,NM_131251.1,Endogenous,49007,5,23758,193,41118,10447,35865,3,33007,30335,1,1145
pax3_v2,,XM_005163543.2,Endogenous,22,12,15,14,11,12,10,29,21,29,3,5
pax7a,,NM_131326.1,Endogenous,11,6,18,14,14,35,10,17,353,8,8,2
pax7b,,NM_001146149.1,Endogenous,30070,11934,4648,8896,8701,23807,15842,157,12900,18636,7,13
phox2b,,NM_001014818.1,Endogenous,30948,17400,25411,14297,19165,15464,30125,22,25389,14,18,7
pnp4a,,NM_001002102.1,Endogenous,32,7,25,21,18,11,12,23,23,29,15,2
rpl13,,NM_198143.1,Endogenous,78847,73265,95309,65265,122025,72894,91668,117256,118081,93409,74797,59244
silva,,NM_001045330.1,Endogenous,10,2,5,5,5,7,4,1,7,8,1,1
slc24a5,,NM_001030280.1,Endogenous,36,14,19,13,21,17,9,3,13,19,1,2
smad9,,NM_001004014.1,Endogenous,24,17,22,15,27,21,30,10,25,29,6,4
snail2,,XR_661767.1,Endogenous,38611,13,24728,314,37353,2,18424,23578,16185,4,2,11652
sox10,,NM_131875.1,Endogenous,8707,4,105,9,15,8198,11,1,15,7182,1,1
sox5,,NM_001033585.1,Endogenous,27,18,25,19,27,14,24,27,22,19,19,2
sox9b,,NM_131644.1,Endogenous,23493,2,15380,1231,30,26373,8,2,7,23445,1,12813
tfap2a,,NM_176859.2,Endogenous,36,23,12,11,14,17,16,44,32,15,4,17
tfap2e,,NM_200821.1,Endogenous,16,14,12,14,19,14,12,16,11,16,5,3
tfec,,NM_001030105.2,Endogenous,33093,2,7,24479,40911,43625,51887,106,40687,45620,1,5102
tyr,,NM_131013.1,Endogenous,14897,9523,14594,8024,19286,13210,20620,5,14076,8,1,1
tyrp1b,,NM_001002749.1,Endogenous,22,15,28,17,34,23,26,28,31,10,8,8
NEG_A,,ERCC_00096.1,Negative,9,3,12,9,6,6,4,2,7,4,2,1
NEG_B,,ERCC_00041.1,Negative,7,3,5,4,5,2,6,5,4,4,2,2
NEG_C,,ERCC_00019.1,Negative,2,1,2,3,3,3,2,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,2,1,2,1,3,2,5,1,2,2,1,1
NEG_E,,ERCC_00098.1,Negative,9,6,5,7,11,6,7,8,5,6,1,1
NEG_F,,ERCC_00126.1,Negative,21,12,14,9,20,14,8,12,19,14,8,3
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,1,1,2,1,1
NEG_H,,ERCC_00154.1,Negative,5,2,1,1,1,5,3,7,4,9,5,2
POS_A,,ERCC_00117.1,Positive,8054,6011,8525,8810,7645,5032,8671,6645,7602,7483,6357,2441
POS_B,,ERCC_00112.1,Positive,2209,1634,2308,2484,2212,1479,2570,1868,2263,2146,1806,868
POS_C,,ERCC_00002.1,Positive,665,480,711,681,646,428,716,511,654,592,482,368
POS_D,,ERCC_00092.1,Positive,163,134,175,164,151,124,168,149,187,141,98,77
POS_E,,ERCC_00035.1,Positive,18,19,23,30,31,22,22,14,23,24,19,12
POS_F,,ERCC_00034.1,Positive,16,10,15,15,10,15,9,13,16,12,10,1
