Gene Name,Annotation,Accession #,20160818_bath study 30hpf 15-05 samples 13-24_   _01.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _02.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _03.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _04.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _05.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _06.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _07.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _08.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _09.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _10.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _11.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _12.RCC
id2a,,NM_201291.1,74922,42852,140559,168924,61672,104472,62085,49089,129362,104195,118453,48330
impdh1b,,NM_001014369.2,67023,63,26644,38,62614,95464,56715,284810,33,24142,51891,506
kita,,NM_131053.1,40110,23,43841,35693,34091,26,38478,26745,15,58229,51851,11
ltk,,XM_005158786.2,10193,10100,9547,15731,13326,6706,54620,55,35,59,9991,54
mbpa,,XM_002665557.1,42663,31651,41596,59808,2243,53453,31,49,24,42389,51437,15016
mc1r,,NM_180970.1,187,3066,69651,3510,79336,67064,1650,10,23,127,88431,14
mitfa,,NM_130923.1,9197,8,6131,766,7498,32841,6116,15226,57045,2,10132,756
mlphb,,NM_001079679.1,8,28,17,6,11,10,6,4,5,11,10,2
mycl1a,,NM_212937.1,1,10,41,1,12,20,19,6,13,3,13,9
myo5aa,,XM_009293794.1,4,10,28,1,10,49,31,38680,49,4,25,44212
oca2,,XM_690715.7,5,16,18,8,5,9,8,8,6,9,8,2
otx2,,NM_131251.1,4,89325,43823,1,768,24,65337,29,8,10,43611,57916
pax3_v2,,XM_005163543.2,3,4,40,1,43,51,18,8,16,4,44,11
pax7a,,NM_131326.1,45,33,71,44,23,24,84,124857,31,35,48,112
pax7b,,NM_001146149.1,39264,70,37324,61645,7958,46,6704,64214,59081,75,60184,62374
phox2b,,NM_001014818.1,60473,61747,39592,36,70,127,52377,18062,55,50973,50700,50
pnp4a,,NM_001002102.1,45,33,52,51,29,54,44,96308,32,49,49,43
rpl13,,NM_198143.1,345806,287933,211414,352089,167025,213342,300651,301170,258887,334299,250908,407677
silva,,NM_001045330.1,6,15,21,6,8,10,7,922,5,7,12,1
slc24a5,,NM_001030280.1,14,47,46,15,66,61,15,29,35,47,62,5
smad9,,NM_001004014.1,62,13259,60,8482,34,33,56,58,22622,55,15485,46
snail2,,XR_661767.1,31697,11,33580,5,60203,86872,59669,25208,14,68749,54,1371
sox10,,NM_131875.1,11,156,11067,187,21966,15,50,16605,4,14,30,29521
sox5,,NM_001033585.1,43,35,48,53,29,48,66,97,46,53,57,37
sox9b,,NM_131644.1,7,82147,46574,64011,11,14,12,7,8,550,46831,8
tfap2a,,NM_176859.2,4511,744,4675,2829,2458,9677,826,898,947,10,4887,14
tfap2e,,NM_200821.1,38,45,33,40,28,35,49,37,26,232,41,37
tfec,,NM_001030105.2,7,90212,96877,5,23,17,92175,7,3,18585,60318,6
tyr,,NM_131013.1,18975,23524,24625,44738,26,35469,27159,17406,10,35280,11744,6
tyrp1b,,NM_001002749.1,72,53,62,95,42,41,44,61,64,67,66,64
NEG_A,,ERCC_00096.1,8,16,22,14,18,13,10,38,14,9,21,7
NEG_B,,ERCC_00041.1,11,13,8,13,6,10,10,20,8,11,10,14
NEG_C,,ERCC_00019.1,5,2,1,1,1,1,3,2,1,1,2,1
NEG_D,,ERCC_00076.1,5,5,7,1,5,8,7,1,1,2,4,2
NEG_E,,ERCC_00098.1,13,8,16,20,7,12,16,13,17,22,13,5
NEG_F,,ERCC_00126.1,48,43,34,43,31,34,35,55,29,33,52,42
NEG_G,,ERCC_00144.1,1,1,3,1,1,6,3,1,1,1,3,1
NEG_H,,ERCC_00154.1,10,5,12,14,12,19,19,23,10,20,6,14
POS_A,,ERCC_00117.1,29763,27326,16469,29662,27710,26562,29633,20722,28308,30823,22152,32030
POS_B,,ERCC_00112.1,7044,6912,3792,7348,6655,6420,7007,5084,6975,7580,5308,7837
POS_C,,ERCC_00002.1,2011,1860,1015,2061,1894,1748,1972,1397,1914,2089,1497,2143
POS_D,,ERCC_00092.1,519,457,279,445,438,430,472,310,461,484,352,541
POS_E,,ERCC_00035.1,107,79,62,103,101,71,86,63,89,89,62,117
POS_F,,ERCC_00034.1,42,37,25,36,28,36,45,77,42,38,33,55
