Gene Name,Annotation,Accession #,20160928_bath study 48hpf  15-09-16 stripB_ _01.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _02.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _03.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _04.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _05.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _06.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _07.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _08.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _09.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _10.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _11.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _12.RCC
pax3_v2,,XM_005163543.2,4,1,841,1,2,51,2,9,38,1,4,3
pax7a,,NM_131326.1,5,15,2526,5,1,128,12,3,10,1,2,5
pax7b,,NM_001146149.1,13,23968,222,29112,4,1217,14,12682,17606,201,351,5
phox2b,,NM_001014818.1,14,35,55,13,34,278,18,10,20,39,12,4
pnp4a,,NM_001002102.1,14,11,25,14,8,5,15,11,13,6,3,3
rpl13,,NM_198143.1,76515,62416,139211,18284,15930,64140,81951,28632,57956,15832,8523,36167
silva,,NM_001045330.1,1,8,8,27,1,1,1,1,2,1,1,1
slc24a5,,NM_001030280.1,1,2,30,1,2,10,5,2,9,1,1,1
smad9,,NM_001004014.1,8,15,12,8,3,8,9,5,9,1,1,9
snail2,,XR_661767.1,14605,1,38352,5,1,9915,5,2,6,1,3,1
sox10,,NM_131875.1,1,1,103,2,591,1,5,1,6664,1,2,1
sox5,,NM_001033585.1,28,30,33,13,8,12,13,12,11,8,8,3
sox9b,,NM_131644.1,1,1,16,1,2,2,3,1,3,1,1,6404
tfap2a,,NM_176859.2,23001,22077,271,5112,2,22056,4,1,4,1,2,18677
tfap2e,,NM_200821.1,8,72,18,6,2,7,14,1,9,2,2,1
tfec,,NM_001030105.2,224,2,52924,1,2,3476,14375,1,37363,1,12032,1
tyr,,NM_131013.1,1,7945,10549,1,4,5,3,28,45,1,1,1
tyrp1b,,NM_001002749.1,10,23,21,10,5,18,10,3,10,1,1,6
NEG_A,,ERCC_00096.1,5,3,8,2,3,1,1,4,7,4,1,1
NEG_B,,ERCC_00041.1,1,5,3,6,2,1,1,1,1,1,1,2
NEG_C,,ERCC_00019.1,1,2,1,1,1,1,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,1,1,5,1,1,1,1,1,2,1,1,1
NEG_E,,ERCC_00098.1,2,3,6,2,3,1,2,5,2,1,1,2
NEG_F,,ERCC_00126.1,8,4,10,1,3,7,10,3,13,3,2,4
NEG_G,,ERCC_00144.1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,1,1,5,2,1,2,1,1,1,1,1,1
POS_A,,ERCC_00117.1,14951,13369,11449,11082,10545,3258,11755,9384,10209,8943,9391,9210
POS_B,,ERCC_00112.1,3972,3686,3057,3314,2897,957,3145,2440,2686,2761,2398,2598
POS_C,,ERCC_00002.1,1122,1053,865,958,822,342,882,670,792,759,742,766
POS_D,,ERCC_00092.1,232,233,222,239,201,70,192,155,185,157,169,169
POS_E,,ERCC_00035.1,48,28,47,34,22,10,37,31,30,37,32,30
POS_F,,ERCC_00034.1,20,18,18,15,13,4,15,6,15,13,11,8
