Gene Name,Annotation,Accession #,Class Name,20160901_bath study 30hpf 13-04 samples 37-48_ 37_01.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 38_02.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 39_03.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 40_04.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 41_05.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 42_06.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 43_07.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 44_08.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 45_09.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 46_10.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 47_11.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 48_12.RCC
phox2b,,NM_001014818.1,Endogenous,36,2987,2,1,9262,14,4208,4318,20,7,6837,5
pnp4a,,NM_001002102.1,Endogenous,244,9448,1,3,9,4,7,6,401,3,5,2
rpl13,,NM_198143.1,Endogenous,38149,29226,20235,11256,15972,16411,19863,27314,29903,23428,14890,34024
silva,,NM_001045330.1,Endogenous,1098,7940,1,1,1,1,2,2,14063,1,1,1
slc24a5,,NM_001030280.1,Endogenous,5,3,1,1,6,1,8,5,9563,1,10,1
smad9,,NM_001004014.1,Endogenous,15,13,3,1,1,3,5,8,16,4,3,5
snail2,,XR_661767.1,Endogenous,1,5715,2,1,1,2604,12909,13641,1,2,5567,1
sox10,,NM_131875.1,Endogenous,1652,2604,1,1,1599,228,1128,278,1814,1,1749,1
sox5,,NM_001033585.1,Endogenous,14,10,5,3,6,4,5,8,5,3,7,3
sox9b,,NM_131644.1,Endogenous,6246,5439,83,1,2,1,6579,15871,6,1,4074,1
tfap2a,,NM_176859.2,Endogenous,3098,2,1,1,425,2,2645,2612,3689,3985,1965,1
tfap2e,,NM_200821.1,Endogenous,8,12,3,1,5256,4,3248,4475,553,3,3590,3
tfec,,NM_001030105.2,Endogenous,3747,243,1,1,5,149,156,1518,5,1,123,1
tyr,,NM_131013.1,Endogenous,1295,242,1,1,1,476,2177,2440,6946,1,1675,1
tyrp1b,,NM_001002749.1,Endogenous,10,36492,2,2,3,4,6,11,66098,6,11,4
NEG_A,,ERCC_00096.1,Negative,7,3,3,1,3,1,2,2,3,1,4,1
NEG_B,,ERCC_00041.1,Negative,2,1,2,1,1,1,1,1,2,1,1,1
NEG_C,,ERCC_00019.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1
NEG_E,,ERCC_00098.1,Negative,4,2,1,2,1,1,2,2,7,1,1,1
NEG_F,,ERCC_00126.1,Negative,10,3,4,2,3,2,4,6,10,5,4,4
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,3,1,2,1,1,5,1,2,4,4,2,5
POS_A,,ERCC_00117.1,Positive,3682,3047,3112,2807,3295,2816,3067,3273,3801,3716,2896,4240
POS_B,,ERCC_00112.1,Positive,1237,1088,1041,946,1082,909,1055,1198,1227,1174,870,1396
POS_C,,ERCC_00002.1,Positive,345,265,290,270,291,252,305,335,366,342,241,379
POS_D,,ERCC_00092.1,Positive,73,75,53,55,58,68,76,87,77,78,66,96
POS_E,,ERCC_00035.1,Positive,6,5,9,7,9,10,7,9,13,12,9,15
POS_F,,ERCC_00034.1,Positive,9,3,4,3,8,6,3,4,6,8,9,3
