Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160527_bath study 48hpf plate1 1-12_ 10 _10.RCC,20160527_bath study 48hpf plate1 1-12_ 11_11.RCC,20160527_bath study 48hpf plate1 1-12_ 12_12.RCC,20160527_bath study 48hpf plate1 1-12_ 1_01.RCC,20160527_bath study 48hpf plate1 1-12_ 2_02.RCC,20160527_bath study 48hpf plate1 1-12_ 3_03.RCC,20160527_bath study 48hpf plate1 1-12_ 4_04.RCC,20160527_bath study 48hpf plate1 1-12_ 5_05.RCC,20160527_bath study 48hpf plate1 1-12_ 6_06.RCC,20160527_bath study 48hpf plate1 1-12_ 7_07.RCC,20160527_bath study 48hpf plate1 1-12_ 8_08.RCC,20160527_bath study 48hpf plate1 1-12_ 9_09.RCC
hmx4,,NM_001045371.1,Endogenous,,127,117,80,92,81,90,115,76,89,131,119,105
id2a,,NM_201291.1,Endogenous,,17130,85,5664,54497,74059,58,43306,60,78,114,84156,47316
impdh1b,,NM_001014369.2,Endogenous,,96876,105,62,92,112,74,150,61,73,99,151809,111527
kita,,NM_131053.1,Endogenous,,11,9,21899,1,31427,1,1,1,1,1,41,167776
ltk,,XM_005158786.2,Endogenous,,41,13,53,50,18,20,47,10,32,10,36516,78
mbpa,,XM_002665557.1,Endogenous,,33,7,28,17,17,13,33,5,18,9,40,39
mc1r,,NM_180970.1,Endogenous,,57,1,1,1,33,1,12,1,1,2,30,39901
mitfa,,NM_130923.1,Endogenous,,32460,1,1,5,73494,1,3,1,1,1086,18,60952
mlphb,,NM_001079679.1,Endogenous,,15,1,1,1,25,1,2,1,1,1,26,135309
mycl1a,,NM_212937.1,Endogenous,,41598,2,1,26,25,1,3,1,1,1,90402,20
myo5aa,,XM_009293794.1,Endogenous,,37486,1,1,3,32,1,4,1,1,1,21,54811
oca2,,XM_690715.7,Endogenous,,13,1,3,1,19,1,4,2,1,1,41697,104064
otx2,,NM_131251.1,Endogenous,,52,1,1,7,98385,1,7,1,1,1,97863,46021
pax3_v2,,XM_005163543.2,Endogenous,,62,1,1,5,36,1,10,1,1,1,5097,70
pax7a,,NM_131326.1,Endogenous,,26,4,25,30,8,7,34,7,24,7,40281,58
pax7b,,NM_001146149.1,Endogenous,,32,18,35,76,26,31,53,7,57,22,94,23188
phox2b,,NM_001014818.1,Endogenous,,31780,87,68,85,95651,57,121,68,98,87,235,153
pnp4a,,NM_001002102.1,Endogenous,,100,102,71,85,72,81,95,69,73,83,72216,75375
rpl13,,NM_198143.1,Endogenous,,218581,72641,190612,272288,79789,88511,267701,50852,209937,71277,196551,120077
silva,,NM_001045330.1,Endogenous,,11,2,1,1,20,1,4,4,2,1,38,142
slc24a5,,NM_001030280.1,Endogenous,,8,3,3,1,32,1,3,1,1,1,61181,124684
smad9,,NM_001004014.1,Endogenous,,46,17,60,53,26,15,45,9,50,8,97,112
snail2,,XR_661767.1,Endogenous,,34,2,2,3,18,1,2,1,1,1,33,31
sox10,,NM_131875.1,Endogenous,,15,3,1,2,46,1,3,3,2,1,28950,29243
sox5,,NM_001033585.1,Endogenous,,97,85,75,100,83,91,116,70,83,106,145,110
sox9b,,NM_131644.1,Endogenous,,81459,1,1,4,78489,1,15922,1,1,1,37043,40219
tfap2a,,NM_176859.2,Endogenous,,95132,1,1,4,506,1,41666,1,66,1,28,37617
tfap2e,,NM_200821.1,Endogenous,,32,6,28,32,13,10,38,10,34,10,63,16723
tfec,,NM_001030105.2,Endogenous,,14,2,1,2,43991,1,1,1,1,1,48235,197
tyr,,NM_131013.1,Endogenous,,5,8,4,1,26,1,1,1,1,1,50610,63736
tyrp1b,,NM_001002749.1,Endogenous,,42,8,63248,51,28,12,46,16,40,11,162030,214210
NEG_A,,ERCC_00096.1,Negative,,23,16,17,15,7,17,20,14,11,14,35,21
NEG_B,,ERCC_00041.1,Negative,,6,3,10,9,2,3,8,8,8,5,10,14
NEG_C,,ERCC_00019.1,Negative,,1,1,1,1,4,1,2,1,1,1,7,20
NEG_D,,ERCC_00076.1,Negative,,7,2,2,1,9,1,2,2,2,1,16,8
NEG_E,,ERCC_00098.1,Negative,,29,33,15,32,15,24,30,17,16,17,27,23
NEG_F,,ERCC_00126.1,Negative,,27,11,30,35,12,17,34,9,37,15,42,39
NEG_G,,ERCC_00144.1,Negative,,11,1,1,3,3,2,2,1,1,1,6,12
NEG_H,,ERCC_00154.1,Negative,,14,2,3,1,11,1,6,12,6,11,11,17
POS_A,,ERCC_00117.1,Positive,,19162,35139,34126,29277,34179,36134,33704,34765,33674,34932,16245,13149
POS_B,,ERCC_00112.1,Positive,,5232,10378,10021,8166,8919,8946,9319,9494,9185,9779,4588,3630
POS_C,,ERCC_00002.1,Positive,,1633,3019,2985,2304,2600,2816,2792,2847,2719,2863,1277,1081
POS_D,,ERCC_00092.1,Positive,,380,688,635,570,623,657,655,628,630,651,334,281
POS_E,,ERCC_00035.1,Positive,,61,109,102,93,106,104,107,114,99,96,71,45
POS_F,,ERCC_00034.1,Positive,,43,76,55,54,43,50,57,61,59,63,66,66
