Gene Name,Annotation,Accession #,Avg Count,%CV,20160315_bath study 4 21hpf_10_10.RCC,20160315_bath study 4 21hpf_11_11.RCC,20160315_bath study 4 21hpf_12_12.RCC,20160315_bath study 4 21hpf_1_01.RCC,20160315_bath study 4 21hpf_2_02.RCC,20160315_bath study 4 21hpf_3_03.RCC,20160315_bath study 4 21hpf_4_04.RCC,20160315_bath study 4 21hpf_6_06.RCC,20160315_bath study 4 21hpf_7_07.RCC,20160315_bath study 4 21hpf_8_08.RCC,20160315_bath study 4 21hpf_9_09.RCC
mitfa,,NM_130923.1,2968.92,251.27,4,1,1,24341,20,40,1,2,1,11200,15
mlphb,,NM_001079679.1,2.67,92.32,2,1,1,2,1,8,3,1,7,4,1
mycl1a,,NM_212937.1,55146.83,122.83,43545,1,8,142374,130899,198741,1,17595,3508,65819,59270
myo5aa,,XM_009293794.1,11.67,115.42,9,1,1,32,20,40,1,2,1,15,17
oca2,,XM_690715.7,3.33,130.66,1,1,1,1,5,16,2,1,5,5,1
otx2,,NM_131251.1,6841.5,236.83,8,1,1,44,31,47647,1,6,1,17,34340
pax3_v2,,XM_005163543.2,277.58,228.77,10,1,1,30,30,82,1,793,2164,199,19
pax7a,,NM_131326.1,4835.42,344.52,4,3,3,46,25,28,14,57735,17,136,13
pax7b,,NM_001146149.1,4897,239.47,936,121,14,89,58,40636,10256,31,37,6562,23
phox2b,,NM_001014818.1,4933.92,232.64,11,12,14,186,120,25902,58,23,43,120,32717
pnp4a,,NM_001002102.1,29.75,77.19,8,9,18,67,53,71,25,19,40,27,17
rpl13,,NM_198143.1,141156.92,70.11,61533,49531,69618,346836,278635,165864,129786,128484,151222,207598,104772
silva,,NM_001045330.1,4.17,105.78,16,1,1,3,2,7,8,1,4,4,2
slc24a5,,NM_001030280.1,4.42,168.73,1,1,1,2,2,27,7,1,1,7,2
smad9,,NM_001004014.1,1574,341.19,11,16,7,59,58,18627,21,23,21,25,19
snail2,,XR_661767.1,10250,192.92,12,78,293,17,995,56892,1,1,2,43090,21618
sox10,,NM_131875.1,8512.75,117.67,242,6518,1,7,23123,15798,26225,1,1,16027,14209
sox5,,NM_001033585.1,34.33,80.85,10,14,11,69,81,76,15,19,40,42,34
sox9b,,NM_131644.1,4047.17,255.06,31,1,1,5,1,9515,14,1,35588,3407,1
tfap2a,,NM_176859.2,14843.83,141.45,22336,1883,18,29,50444,57381,1,4,2,16130,29897
tfap2e,,NM_200821.1,1604.58,216.43,6,1,8,36,49,10792,18,18,21,6663,1642
tfec,,NM_001030105.2,9619.42,207.36,3,18,1,1,11,17197,35374,1,2,62769,55
tyr,,NM_131013.1,2632.92,244.33,3,1,1,20258,3,11314,8,1,1,2,2
tyrp1b,,NM_001002749.1,29.42,77.01,7,4,10,72,53,52,26,21,28,48,31
NEG_A,,ERCC_00096.1,10.08,91.23,6,2,6,32,11,24,10,4,4,13,7
NEG_B,,ERCC_00041.1,6.25,47.82,5,2,4,7,8,12,5,11,5,7,6
NEG_C,,ERCC_00019.1,1.5,66.67,1,1,1,1,1,4,1,1,2,3,1
NEG_D,,ERCC_00076.1,3,95.35,2,1,1,2,1,10,6,1,2,6,3
NEG_E,,ERCC_00098.1,11,72.52,2,7,6,20,25,24,8,6,6,14,11
NEG_F,,ERCC_00126.1,21,59.68,10,11,10,45,36,33,15,23,21,27,19
NEG_G,,ERCC_00144.1,2.17,89.83,3,1,1,2,2,7,1,1,1,1,5
NEG_H,,ERCC_00154.1,3.42,96.23,2,1,1,11,6,7,1,1,1,6,2
POS_A,,ERCC_00117.1,20110.42,10.18,20389,18239,20798,17263,18347,17712,20323,20395,23959,19647,21171
POS_B,,ERCC_00112.1,5640.17,10.19,5559,4855,5629,4823,5132,5207,5705,5816,6661,5812,6057
POS_C,,ERCC_00002.1,1604.5,12.49,1504,1308,1670,1327,1525,1407,1595,1685,1919,1642,1798
POS_D,,ERCC_00092.1,387,10.41,388,341,405,334,352,376,374,365,445,396,397
POS_E,,ERCC_00035.1,58.25,13.16,43,44,59,63,56,59,61,58,69,63,60
POS_F,,ERCC_00034.1,28.33,28.65,20,17,27,34,33,48,26,31,26,26,31
