Gene Name,Annotation,Accession #,Class Name,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 49_01.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 50_02.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 51_03.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 52_04.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 53_05.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 54_06.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 55_07.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 56_08.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 57_09.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 58_10.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 59_11.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 60_12.RCC
pax7b,,NM_001146149.1,Endogenous,1,31499,25,2,28,13,20,106,55,2,18,40
phox2b,,NM_001014818.1,Endogenous,45,41,57,35,69,34,30,154,106,25,21,37
pnp4a,,NM_001002102.1,Endogenous,44,25,43,34,31,21,30,79548,77,32,25,35
rpl13,,NM_198143.1,Endogenous,1,93726,90424,26156,123400,54028,121105,152868,180939,23889,77580,120871
silva,,NM_001045330.1,Endogenous,1,1,3,1,5,1,1,159,1,1,1,1
slc24a5,,NM_001030280.1,Endogenous,1,1,1,1,1,1,1,106729,1,1,1,9
smad9,,NM_001004014.1,Endogenous,1,28,22,6,25,12,24,122,54186,3,12,32
snail2,,XR_661767.1,Endogenous,1,1,5,2,1,1,1,17,31,1,1,23142
sox10,,NM_131875.1,Endogenous,1,1,16394,1,1,1,1,14111,1,1,1,1
sox5,,NM_001033585.1,Endogenous,49,28,66,35,53,24,39,96,82,36,28,55
sox9b,,NM_131644.1,Endogenous,1,1,4,1,34538,2,1,92,3,1,1,4
tfap2a,,NM_176859.2,Endogenous,1,1,19,1,1,1,1,22110,50,1,1,12995
tfap2e,,NM_200821.1,Endogenous,1,14,15,1,14,11,21,10600,25,3,11,16
tfec,,NM_001030105.2,Endogenous,1,1,7,1,2,1,1,51,1,1,1,3
tyr,,NM_131013.1,Endogenous,1,1,1,1,2,1,1,46500,1,1,1,8
tyrp1b,,NM_001002749.1,Endogenous,1,29,28,7,22,5,33,295868,83,4,14,36843
NEG_A,,ERCC_00096.1,Negative,8,8,12,8,9,5,7,16,12,5,4,7
NEG_B,,ERCC_00041.1,Negative,1,5,6,2,2,3,9,13,15,1,1,8
NEG_C,,ERCC_00019.1,Negative,1,1,1,1,3,2,1,11,1,1,1,2
NEG_D,,ERCC_00076.1,Negative,1,2,1,1,1,1,1,4,2,1,1,1
NEG_E,,ERCC_00098.1,Negative,10,10,11,9,13,6,10,19,6,10,7,8
NEG_F,,ERCC_00126.1,Negative,3,18,19,10,24,8,13,40,29,6,14,23
NEG_G,,ERCC_00144.1,Negative,1,1,2,1,1,1,1,1,3,1,1,1
NEG_H,,ERCC_00154.1,Negative,3,5,8,3,7,5,9,5,21,7,10,3
POS_A,,ERCC_00117.1,Positive,18502,14002,17429,14494,13667,14690,16986,9092,15748,19302,12341,15170
POS_B,,ERCC_00112.1,Positive,5278,4498,4798,4541,4236,4531,5073,2659,4835,5758,3746,4696
POS_C,,ERCC_00002.1,Positive,1534,1294,1420,1337,1265,1290,1464,829,1351,1597,1087,1427
POS_D,,ERCC_00092.1,Positive,369,301,350,284,312,285,362,190,332,371,252,330
POS_E,,ERCC_00035.1,Positive,45,57,57,37,36,47,45,44,50,59,41,55
POS_F,,ERCC_00034.1,Positive,31,27,34,27,36,21,32,41,40,31,21,23
