Gene Name,Annotation,Accession #,Class Name,20161014_bath study 60hpf 29-09-16 strip b_ _01.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _02.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _03.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _04.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _05.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _06.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _07.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _08.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _09.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _10.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _11.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _12.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _01.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _02.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _03.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _04.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _05.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _06.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _07.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _08.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _09.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _10.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _11.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _12.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _01.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _02.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _03.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _04.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _05.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _06.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _07.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _08.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _09.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _10.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _11.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _12.RCC
silva,,NM_001045330.1,Endogenous,1,1,133,1,75,3,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,2,3,1,1,2,4,2,1,1,2,1,1,1,5,1
slc24a5,,NM_001030280.1,Endogenous,1,1,29,1,391,4,1,1,1,2,19,1,1,1,1,1,7,1,20,3,5,4,1,1,1,10,18,1,4,10,1,7,1,1,1,1
smad9,,NM_001004014.1,Endogenous,2,4,14,1,96,4,1,6,4,4,3,5,16,4,2,5,4,22,12,7,13,4,2,3,3,2,9,1,1,1,2,3,1,2,2,1
snail2,,XR_661767.1,Endogenous,2,1,23075,7359,10648,7,3,1,1,220,94,2,3,1,22191,1,5,3,3,1,1,1,1,1,1,1,15092,1,1,2,1,1,1,1,1,5
sox10,,NM_131875.1,Endogenous,1,1,12011,7,10005,6,1,1,1,1,4,6,1,1,1,1,9,1,1,11,16,8,1,4,1,1,8022,1,1,5,1,1,5327,1,1,1
sox5,,NM_001033585.1,Endogenous,10,7,16,10,72,19,7,4,2,5,6,11,9,19,13,13,22,7,15,13,9,21,8,16,2,4,15,3,1,8,5,9,1,3,2,4
sox9b,,NM_131644.1,Endogenous,1,9366,35392,1,14329,34074,1,1,1,2,11300,6,1,1,1,1,2,1,2,1,3,3,1,1,1,3,14046,4459,1,3,1,1,3683,1,1,1
tfap2a,,NM_176859.2,Endogenous,1,1,28981,239,13340,2,1,1,1,10,7128,6,6,1,26357,1,11224,33,22619,145,1,1,1,1,1,8311,16386,10813,1,26462,13782,1,1,1,3,9
tfap2e,,NM_200821.1,Endogenous,2,2,10256,1,1117,6,3,7,1,6,4,4,15,3,4,2,1,10,8566,6,6,1,2,3,1,1,4767,1,1,1,1,3,1,1,1,1
tfec,,NM_001030105.2,Endogenous,345,1,38372,24588,23820,30309,6238,1,1,2,3,7794,1,2044,1,19241,52330,1,5,34420,36001,24342,1,22624,1,15954,13157,1,1,1,1,5,1,2,1,2
tyr,,NM_131013.1,Endogenous,105,2,17062,3,6669,1901,1,1,1,1,8,4,1,1,1,1,3,57,12923,5224,47,2,19,1,1,3,11556,1,8,4,12828,5,1,1,1,1
tyrp1b,,NM_001002749.1,Endogenous,2,4,15,4,21,2,6,6,4,7,4,2,24,2,2,6,3,12,9,6,12,3,4,5,7,1,9,1,1,2,3,1,1,1,2,1
NEG_A,,ERCC_00096.1,Negative,1,2,14,4,9,6,1,2,2,4,1,2,2,4,6,1,5,5,7,2,1,4,1,1,3,1,6,1,2,2,1,2,2,1,1,1
NEG_B,,ERCC_00041.1,Negative,1,1,3,1,1,2,1,1,1,3,1,1,1,1,1,1,1,4,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2
NEG_C,,ERCC_00019.1,Negative,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,2,1,2,1,1,1,1,1,2,3,1,1,1,1,2,1,2,1,1,3,1,2,1,1,2,1,1,1,1,2,2,1,2,1
NEG_E,,ERCC_00098.1,Negative,3,1,3,1,9,5,3,2,4,1,6,3,2,6,3,2,5,6,2,2,1,8,3,1,1,2,2,1,1,1,1,3,1,1,2,4
NEG_F,,ERCC_00126.1,Negative,5,2,12,5,9,3,1,6,1,2,6,7,12,4,5,5,4,8,2,3,6,4,3,1,2,1,2,3,1,1,2,2,4,3,3,2
NEG_G,,ERCC_00144.1,Negative,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,1,3,1,2,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1
POS_A,,ERCC_00117.1,Positive,13513,11839,13699,14526,12426,15809,9890,11835,13381,14133,14450,17402,17828,13811,18314,12662,12330,13839,13103,16413,12976,14488,15027,13518,8151,8498,9054,8206,7602,9056,10907,9226,9203,10589,10414,14747
POS_B,,ERCC_00112.1,Positive,3494,2834,3467,3741,3369,4083,2522,2976,3332,3646,3600,4512,4843,3898,5280,3521,3675,3903,3643,4466,3636,4074,4258,3728,2102,2221,2331,2027,1875,2458,2668,2426,2420,2663,2644,3649
POS_C,,ERCC_00002.1,Positive,976,779,931,1042,885,1169,685,878,999,1025,1034,1197,1384,1165,1511,1000,1072,1099,1049,1306,1060,1095,1260,1010,612,620,671,547,554,841,796,715,659,782,778,1063
POS_D,,ERCC_00092.1,Positive,206,212,220,234,214,266,164,221,223,256,218,283,324,257,380,242,245,266,238,275,259,272,262,247,126,147,154,150,125,181,163,171,164,172,200,229
POS_E,,ERCC_00035.1,Positive,33,21,32,45,26,38,27,37,40,37,40,60,59,42,56,41,45,52,36,34,35,41,65,44,23,19,28,21,25,34,34,25,27,31,27,39
POS_F,,ERCC_00034.1,Positive,14,14,15,15,21,22,12,11,14,14,16,18,21,20,23,16,18,14,23,18,13,14,21,15,6,7,14,8,10,11,9,8,7,12,10,13
