Gene Name,Annotation,Accession #,Class Name,20160727_bath study 72hpf stripA 15-04-16_ _01.RCC,20160727_bath study 72hpf stripA 15-04-16_ _02.RCC,20160727_bath study 72hpf stripA 15-04-16_ _03.RCC,20160727_bath study 72hpf stripA 15-04-16_ _04.RCC,20160727_bath study 72hpf stripA 15-04-16_ _05.RCC,20160727_bath study 72hpf stripA 15-04-16_ _06.RCC,20160727_bath study 72hpf stripA 15-04-16_ _07.RCC,20160727_bath study 72hpf stripA 15-04-16_ _08.RCC,20160727_bath study 72hpf stripA 15-04-16_ _09.RCC,20160727_bath study 72hpf stripA 15-04-16_ _10.RCC,20160727_bath study 72hpf stripA 15-04-16_ _11.RCC,20160727_bath study 72hpf stripA 15-04-16_ _12.RCC
myo5aa,,XM_009293794.1,Endogenous,7,4,8,1,1,1,1,1,2,3,1,1
oca2,,XM_690715.7,Endogenous,1,4,4,1,1,1,1,1,1,1,1,1
otx2,,NM_131251.1,Endogenous,28911,2,33846,5,1,1,1,1,39107,4,1,7
pax3_v2,,XM_005163543.2,Endogenous,12,23,11,2,1,1,1,1,1,2,1,46
pax7a,,NM_131326.1,Endogenous,3,5,13,4,3,36,9,1,1,1,1,2
pax7b,,NM_001146149.1,Endogenous,24418,27486,14824,98,27,1,21451,3,15735,13980,15,7
phox2b,,NM_001014818.1,Endogenous,9069,31,22441,20,2,1,56,5,1054,22,7,40
pnp4a,,NM_001002102.1,Endogenous,10,9,17,7,4,1,8,7,3,6,4,5
rpl13,,NM_198143.1,Endogenous,86630,30719,117755,72336,29265,36457,40983,46620,47133,8912,43830,42970
silva,,NM_001045330.1,Endogenous,172,3,2,1,1,1,1,1,1,1,1,198
slc24a5,,NM_001030280.1,Endogenous,1,2,14,5,1,1,1,1,5,1,1,1
smad9,,NM_001004014.1,Endogenous,12,5,20,4,2,2,8,6,3,3,6,3
snail2,,XR_661767.1,Endogenous,2,10445,5,6,2,9034,1,1,12830,1,1,2
sox10,,NM_131875.1,Endogenous,1,5819,4370,1,1,3,3075,1,1,4,1,3
sox5,,NM_001033585.1,Endogenous,9,20,16,11,5,1,12,11,7,9,11,5
sox9b,,NM_131644.1,Endogenous,1,49652,4,1,1,1,1,1,3,2,1,2
tfap2a,,NM_176859.2,Endogenous,85,25928,15532,23843,8403,1,1,1,2,25638,1,2
tfap2e,,NM_200821.1,Endogenous,10,6,13,10,2,2,9,1,1,1,6,6
tfec,,NM_001030105.2,Endogenous,1,39040,21496,32,7,6696,27465,1,2,2,1,39465
tyr,,NM_131013.1,Endogenous,1,3,16139,118,27,1,1,1,1,1,1,1
tyrp1b,,NM_001002749.1,Endogenous,13,9,21,8,5,1,14,5,5,3,6,4
NEG_A,,ERCC_00096.1,Negative,3,4,6,3,3,1,2,5,3,2,1,4
NEG_B,,ERCC_00041.1,Negative,1,1,5,1,1,1,3,1,1,1,1,1
NEG_C,,ERCC_00019.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,6,1,1,1,1,1,1,1,1,1
NEG_E,,ERCC_00098.1,Negative,3,6,3,2,1,1,1,2,3,4,1,4
NEG_F,,ERCC_00126.1,Negative,4,1,10,6,4,1,4,3,1,2,5,4
NEG_G,,ERCC_00144.1,Negative,2,1,1,1,1,1,1,1,1,2,1,1
NEG_H,,ERCC_00154.1,Negative,9,6,1,1,1,4,2,1,1,2,1,3
POS_A,,ERCC_00117.1,Positive,12197,10912,9398,11528,9600,2407,10234,9256,7177,10608,10217,10355
POS_B,,ERCC_00112.1,Positive,3185,2905,2442,2953,2492,783,2731,2447,2015,2757,2812,3090
POS_C,,ERCC_00002.1,Positive,891,736,645,812,668,216,760,651,510,752,788,768
POS_D,,ERCC_00092.1,Positive,189,203,166,222,161,55,179,184,160,188,178,217
POS_E,,ERCC_00035.1,Positive,36,30,37,31,28,10,30,31,23,25,20,26
POS_F,,ERCC_00034.1,Positive,13,15,8,16,10,1,9,4,4,12,10,8
