Gene Name,Annotation,Accession #,Class Name,20160809_bath study 21hpf 06-04-16 samples 13-24 _01.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _02.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _03.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _04.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _05.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _06.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _07.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _08.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _09.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _10.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _11.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _12.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_01.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_02.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_03.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_04.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_05.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_06.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_07.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_08.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_09.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_10.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_11.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_12.RCC
mlphb,,NM_001079679.1,Endogenous,1,16,1,1,4,1,1,1,1,1,5,1,7,1,1,4,5,14,1,1,1,1,6,6
mycl1a,,NM_212937.1,Endogenous,19874,91759,17,1,1,1,1622,10123,1,1,64328,98926,9139,27758,36051,8,7,9,34970,21596,5,33904,104614,8
myo5aa,,XM_009293794.1,Endogenous,6,34,8,3,2,1,1,1,1,1,15,21,1,3,17,8,8,10,7,16,6,6,23,32949
oca2,,XM_690715.7,Endogenous,1,9,3,1,4,1,1,1,1,1,2,1,4,1,2,1,5,5,1,1,3,1,1,6
otx2,,NM_131251.1,Endogenous,11,40,10,1,2,1,1,5,1,1,14,34,5,7,17,5,6,9,9,13,8,2,29,11
pax3_v2,,XM_005163543.2,Endogenous,3,36,12,4,1,1,1,198,1,1,10,21,1,3,20,7,12,16,12,12,14,3,11,1364
pax7a,,NM_131326.1,Endogenous,16,18,13,6,7,4,2,26464,4,10,17,11,7,7,24,10,25,13,17,15,19,13,17,113190
pax7b,,NM_001146149.1,Endogenous,27,41,37,14,16,7,4,13,5,14,41,21,13,12,57,22,38,18,31,25,49,27,47,38525
phox2b,,NM_001014818.1,Endogenous,76,154,77,44,79,7,26,23,37,40,86,40,37,36,125,89,84,104,104,50,105,88,158,251
pnp4a,,NM_001002102.1,Endogenous,22,45,30,24,27,8,10,13,19,12,22,20,36,14,43,38,35,37,43,35,42,49,42,155
rpl13,,NM_198143.1,Endogenous,122423,174216,142112,64144,89492,31111,20717,45390,42257,59073,128180,107238,71134,105167,207523,137361,134593,122441,114183,129143,200655,97908,192208,131336
silva,,NM_001045330.1,Endogenous,1,6,2,1,2,1,1,1,1,1,139,1,2,1,1,1,4,7,1,1,2,1,4,1
slc24a5,,NM_001030280.1,Endogenous,1,11,1,2,1,1,1,1,2,1,1,1,3,1,1,8,9,3,1,1,3,1,2,10
smad9,,NM_001004014.1,Endogenous,32,418,28,14,11,5,3,8,6,12,42097,22,14272,16,33129,23,32,23,30501,20,30,29523,35303,37
snail2,,XR_661767.1,Endogenous,12,15736,48,1,4,1,1,3,1,1,8213,6,1,2,17,2,7,5435,26923,11,6,1,38581,9
sox10,,NM_131875.1,Endogenous,8775,11323,6908,12651,12890,1,1,1,9004,1,4582,1,12144,1,1,2,17396,20689,1,2,2,21080,1,15120
sox5,,NM_001033585.1,Endogenous,38,41,29,22,32,14,12,29,18,21,31,23,52,27,58,48,42,38,36,37,50,30,83,39
sox9b,,NM_131644.1,Endogenous,1,44502,2,3,8,1,1,1,1,1,17901,1,10215,1,2,2,8,39990,1,1,26518,1,23768,6
tfap2a,,NM_176859.2,Endogenous,12311,13421,16168,2,5279,1,1,6643,1,10868,1728,29829,1,7946,24086,36407,43096,34744,11,34354,49235,6,19,11673
tfap2e,,NM_200821.1,Endogenous,19,25,21,13,16,4,1,6,5,9,28,10,4,16,19,13,16,22,13,9,27,11,30,29
tfec,,NM_001030105.2,Endogenous,7,28,1,1,20,1,1,1,4,1,4,1,16600,1,6,1,12,9,1,1,1,11,2,38427
tyr,,NM_131013.1,Endogenous,2,9,1,2,2,1,1,1,1,1,2,1,3,1,2,10,12275,1,1,1,1,1,1,23001
tyrp1b,,NM_001002749.1,Endogenous,28,40,34,13,16,5,1,11,10,10,54,22,25,22,63,28,47,18,49,25,33,40,55,46
NEG_A,,ERCC_00096.1,Negative,11,24,21,9,10,4,7,2,2,6,11,5,14,10,14,10,11,20,15,11,19,14,23,33
NEG_B,,ERCC_00041.1,Negative,1,8,13,1,6,4,1,3,1,2,5,6,6,6,9,5,7,5,4,9,5,3,13,11
NEG_C,,ERCC_00019.1,Negative,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1
NEG_D,,ERCC_00076.1,Negative,3,4,1,2,6,1,1,1,1,1,6,1,1,1,3,2,3,3,1,1,1,1,5,4
NEG_E,,ERCC_00098.1,Negative,18,27,14,9,15,3,10,5,7,6,9,10,18,7,16,12,12,15,11,11,16,16,32,20
NEG_F,,ERCC_00126.1,Negative,28,35,14,16,14,7,1,4,11,9,25,22,13,17,26,21,25,22,26,21,34,14,31,25
NEG_G,,ERCC_00144.1,Negative,3,9,1,1,1,1,1,1,1,1,1,4,1,3,1,1,3,2,1,1,1,1,4,5
NEG_H,,ERCC_00154.1,Negative,12,16,7,3,1,2,6,3,2,1,8,11,16,1,12,5,7,12,3,12,7,6,9,7
POS_A,,ERCC_00117.1,Positive,9776,8698,9018,9397,10101,13360,6952,7283,5538,6019,6833,6524,17139,12347,14912,16982,15101,14365,12850,14424,14843,12556,17555,17510
POS_B,,ERCC_00112.1,Positive,2851,2692,2592,2737,2923,3887,2076,2123,1632,1864,1925,2142,4578,3519,4001,4655,4249,3967,3490,3863,4155,3485,4835,4641
POS_C,,ERCC_00002.1,Positive,861,793,763,847,884,1100,547,642,503,513,581,651,1328,957,1160,1345,1220,1160,979,1121,1175,1023,1342,1417
POS_D,,ERCC_00092.1,Positive,180,161,177,168,186,242,105,134,129,111,138,151,288,240,294,291,277,265,252,265,278,265,366,305
POS_E,,ERCC_00035.1,Positive,34,32,25,29,31,30,17,17,23,15,21,24,41,37,51,55,56,43,34,55,49,42,54,53
POS_F,,ERCC_00034.1,Positive,20,21,17,21,33,18,11,13,13,16,12,15,29,12,30,27,24,29,27,32,31,27,32,35
