Gene Name,Annotation,Accession #,Class Name,20160811_bath study 72hpf 15-04-16 samples 41-52_   _01.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _02.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _03.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _04.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _05.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _06.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _07.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _08.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _09.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _10.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _11.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _12.RCC
gapdh,,NM_001115114.1,Endogenous,13,29,21,29,1,4209,29,2143,21,18,4609,31
hbp1,,NM_001024431.1,Endogenous,60,275,54,68,46,1227,79,86,93,61,1390,71
her9,,NM_131873.1,Endogenous,5803,31,15965,50832,9959,32682,38272,33603,36530,28699,53392,35
hmx1,,NM_001113526.1,Endogenous,240,86875,10,71219,1,95701,1,66125,72025,1,15,4
hmx4,,NM_001045371.1,Endogenous,6439,19918,121,32,22,68475,44,53267,56217,45,45590,46
id2a,,NM_201291.1,Endogenous,51175,23,52106,29264,17,104426,88,49182,34,19,113806,45787
impdh1b,,NM_001014369.2,Endogenous,80046,35,43,48,14,38738,54,66,34951,45555,117329,49533
kita,,NM_131053.1,Endogenous,41,43017,6006,39057,17,48508,485,40810,2813,1,12162,5
ltk,,XM_005158786.2,Endogenous,17065,11272,10914,49,2,6485,46,41,9079,28,8353,61
mbpa,,XM_002665557.1,Endogenous,643,36526,28747,51311,1,29387,54673,41269,359,14,771,24
mc1r,,NM_180970.1,Endogenous,93329,59472,82117,13,1,55323,1,49538,16,15,32155,13
mitfa,,NM_130923.1,Endogenous,16,17,8773,6,1,7961,1,14,7,5,18,32898
mlphb,,NM_001079679.1,Endogenous,6,3,5,8,1,19,1,24,6,1,5,7
mycl1a,,NM_212937.1,Endogenous,6,20,16,9,1,37812,1,8,8,4,35,10
myo5aa,,XM_009293794.1,Endogenous,11,22,20,13,1,31,1,13,13,9,26,13
oca2,,XM_690715.7,Endogenous,8,9,5,14,1,9,1,11,5,1,5,3
otx2,,NM_131251.1,Endogenous,5,112375,9,37138,1,97128,1,7,8,3,115094,52
pax3_v2,,XM_005163543.2,Endogenous,34,25,47,11,1,48,1,28,8,10,191,12
pax7a,,NM_131326.1,Endogenous,25,22,22,33,1,1034,31,20,20,11,30020,668
pax7b,,NM_001146149.1,Endogenous,71176,39875,642,45718,1,56634,41,48549,43337,630,36048,51511
phox2b,,NM_001014818.1,Endogenous,72,51512,52656,40,17,50025,40152,60426,69,352,19544,70
pnp4a,,NM_001002102.1,Endogenous,21,19,35,31,17,57,28,36,37,24,123801,24
rpl13,,NM_198143.1,Endogenous,163166,141489,146278,104755,1,145508,158082,119929,132238,135247,188833,203793
silva,,NM_001045330.1,Endogenous,176,6,3,16,1,14,1,17,3,1,2,12
slc24a5,,NM_001030280.1,Endogenous,12,33,6,32,1,53,1,39,40,1,6,2
smad9,,NM_001004014.1,Endogenous,30,30,18,32,1,36,30,24,33,22,40,62
snail2,,XR_661767.1,Endogenous,10,25261,18,8,1,42494,2,13,8,3,23,10
sox10,,NM_131875.1,Endogenous,16,7,8,20292,1,13291,1,30,15,1,13453,15
sox5,,NM_001033585.1,Endogenous,48,30,26,30,31,61,37,34,36,17,140,25
sox9b,,NM_131644.1,Endogenous,6,5,6,59,1,7,1,78265,10,1,45,36365
tfap2a,,NM_176859.2,Endogenous,20,3118,62464,49347,1,30096,9,27766,10,55012,27931,51507
tfap2e,,NM_200821.1,Endogenous,28,29,16,43546,1,26,27,18883,25,13,35,35
tfec,,NM_001030105.2,Endogenous,105644,7,12,89718,1,74185,1,63970,58421,1,7,18
tyr,,NM_131013.1,Endogenous,29941,13,18308,18,1,20134,1,20,2971,1,22105,5
tyrp1b,,NM_001002749.1,Endogenous,42,44,25,50,1,44,52,38,46,30,57,52
NEG_A,,ERCC_00096.1,Negative,12,13,4,5,8,14,5,13,12,7,19,10
NEG_B,,ERCC_00041.1,Negative,7,5,5,8,1,4,2,9,6,5,8,12
NEG_C,,ERCC_00019.1,Negative,1,2,1,2,2,7,1,5,1,1,1,4
NEG_D,,ERCC_00076.1,Negative,2,5,1,7,1,5,1,6,3,1,2,5
NEG_E,,ERCC_00098.1,Negative,8,7,5,7,7,9,8,13,16,9,20,7
NEG_F,,ERCC_00126.1,Negative,28,29,21,18,4,27,30,22,19,22,22,34
NEG_G,,ERCC_00144.1,Negative,2,2,5,1,1,4,1,2,1,1,1,2
NEG_H,,ERCC_00154.1,Negative,7,10,7,6,1,13,7,3,2,3,11,9
POS_A,,ERCC_00117.1,Positive,23198,19736,19824,17686,24409,14278,20366,15725,16071,22308,13982,22006
POS_B,,ERCC_00112.1,Positive,6146,5294,5326,4757,6585,3688,5698,4387,4467,5993,3747,5671
POS_C,,ERCC_00002.1,Positive,1717,1480,1450,1383,1850,1090,1581,1220,1248,1655,1054,1610
POS_D,,ERCC_00092.1,Positive,393,353,348,338,431,243,367,289,284,392,243,401
POS_E,,ERCC_00035.1,Positive,62,60,57,70,65,51,67,53,57,67,41,73
POS_F,,ERCC_00034.1,Positive,34,37,34,25,26,23,32,27,26,29,52,29
