Gene Name,Annotation,Accession #,Class Name,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _01.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _02.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _03.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _04.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _05.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _06.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _07.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _08.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _09.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _10.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _11.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _12.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _01.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _02.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _03.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _04.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _05.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _06.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _07.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _08.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _09.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _10.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _11.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _12.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _01.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _02.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _03.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _04.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _05.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _06.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _07.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _08.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _09.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _10.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _11.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _12.RCC
tfap2a,,NM_176859.2,Endogenous,1,18611,6626,3,1,4,7237,1,12402,1,1,1,12969,21,19666,1,1,2757,2749,1,5,2,1249,37533,7627,1,1,1,1,1,1,9662,1,1,20407,1
tfap2e,,NM_200821.1,Endogenous,1,19,1,5,5,11,1,1,5791,1,1,3,4,2,2,4,1,7,6,1,1,2,1,7818,2,2,1,2,1,11209,1,1490,1,1,1,1
tfec,,NM_001030105.2,Endogenous,1,29408,1,21778,7,1,1,1,1,1,1,13051,1,22,25456,1,1,2701,1,1,1,1,486,5,28457,1,3480,12917,1,1,2,13079,15052,1,1,1
tyr,,NM_131013.1,Endogenous,1,6189,3,7692,1,2,1,2,1,1,7,1,1,7,3,1,1,2058,1,1,1,1,1,14099,3,1,1,1,1,1,3847,1,1,1,1,1
tyrp1b,,NM_001002749.1,Endogenous,1,13,1,9,3,11,1,9,5,1,1,7,4,4,4,9,1,12,10,6,1,3,5,9,2,1,1,2,7,4,5,1,1,1,2,2
NEG_A,,ERCC_00096.1,Negative,1,12,3,1,3,3,1,2,1,1,2,1,2,1,3,3,1,2,1,3,2,3,1,5,2,1,3,4,4,1,1,1,2,1,1,1
NEG_B,,ERCC_00041.1,Negative,1,6,1,2,1,2,1,1,3,1,1,1,2,4,2,2,1,1,4,2,1,1,3,1,1,2,1,2,3,3,1,1,1,1,1,2
NEG_C,,ERCC_00019.1,Negative,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_E,,ERCC_00098.1,Negative,1,6,2,3,1,3,2,3,1,5,1,1,6,5,3,2,3,3,3,3,2,1,3,2,3,3,2,1,2,5,1,1,2,1,1,2
NEG_F,,ERCC_00126.1,Negative,3,12,4,2,3,6,1,3,2,2,2,3,3,5,1,6,3,7,2,6,2,1,6,9,2,4,5,2,6,6,4,1,5,1,2,1
NEG_G,,ERCC_00144.1,Negative,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,5,1,1,1,1,1,1,1,1,1,1,1
POS_A,,ERCC_00117.1,Positive,5857,8773,8852,10041,9949,10997,7723,9088,7723,11191,9473,10029,17819,11732,15353,18057,15411,19481,14012,17398,13514,13860,15637,16883,19011,16687,16180,20241,22087,22200,15714,14428,14427,16112,15369,17089
POS_B,,ERCC_00112.1,Positive,1566,2254,2268,2677,2678,2988,2013,2220,2030,2903,2526,2643,4351,2913,3679,4367,3910,4759,3353,4161,3225,3367,3907,3707,4684,4068,3813,4986,5306,5381,3797,3514,3513,3954,3693,4095
POS_C,,ERCC_00002.1,Positive,417,691,692,799,804,836,581,714,622,887,723,762,1207,853,1057,1252,1165,1297,938,1271,927,910,1086,1087,1287,1128,1158,1425,1478,1454,1043,960,944,999,908,1145
POS_D,,ERCC_00092.1,Positive,106,153,175,206,180,212,119,166,143,205,162,157,275,209,243,289,244,304,190,289,192,249,243,289,286,267,230,306,319,310,252,244,215,224,252,297
POS_E,,ERCC_00035.1,Positive,13,22,26,22,28,34,19,34,19,30,25,24,75,27,46,58,49,62,37,45,40,39,41,41,50,66,57,53,70,69,53,47,54,64,47,51
POS_F,,ERCC_00034.1,Positive,5,16,14,10,10,14,14,18,8,12,11,13,14,11,20,10,13,23,10,16,12,13,17,13,20,21,21,20,20,17,15,19,11,10,19,16
