Gene Name,Annotation,Accession #,Class Name,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _01.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _02.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _03.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _04.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _05.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _06.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _07.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _08.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _09.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _10.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _11.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _12.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _01.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _02.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _03.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _04.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _05.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _06.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _07.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _08.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _09.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _10.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _11.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _12.RCC
gapdh,,NM_001115114.1,Endogenous,21,15,2,1389,11,22,11622,5,25,9,8,5,902,7,970,9,17,15,6,4,840,8,6,15
hbp1,,NM_001024431.1,Endogenous,21,48,28,108,32,25,38,36,30,46,30,15,34,32,16,23,28,56,13,12,42,18,23,22
her9,,NM_131873.1,Endogenous,7,18,25,19110,21697,26,8286,16,24065,25544,19929,174,27367,17745,12745,8895,7831,21283,9863,5572,17044,9,17972,766
hmx1,,NM_001113526.1,Endogenous,1,3,1,9754,2,1,1,1,9,5,19115,2,2460,31167,84,5,20148,10864,5429,2,28634,1,1,2
hmx4,,NM_001045371.1,Endogenous,66,18,26461,8260,21783,11,24,18,9,21,10636,7,20,16514,3,15,31602,12,6192,13497,28197,10,14,12
id2a,,NM_201291.1,Endogenous,23350,14569,90289,22348,47125,7,44353,43878,11,28344,39433,7962,184,41235,13,14,57618,4,9346,32127,32990,25683,10,34452
impdh1b,,NM_001014369.2,Endogenous,8098,9,11848,6,16753,10,23891,560,23016,24241,16,4,30287,18,934,19918,29,12,190,12,14418,16885,17666,271
kita,,NM_131053.1,Endogenous,1,2,9,24685,15532,19717,1,1,3,30805,2,1,43,19502,5,11596,24,12315,4487,6,21007,35,2,1
ltk,,XM_005158786.2,Endogenous,16,5345,6,4449,5016,17,1877,15,138,783,11,784,196,5046,23,1168,165,855,5,7,4194,13,10,62
mbpa,,XM_002665557.1,Endogenous,6,19,5,7057,17872,18736,1350,12,15,15,6,2,19936,25777,365,7,17284,11,6,1,480,611,5,4722
mc1r,,NM_180970.1,Endogenous,11,10929,1,15,16,98,1,7,10248,89,17673,3,1,30310,2,6,521,3,21886,1,7,24014,6,1
mitfa,,NM_130923.1,Endogenous,7,3,1,6,9,1,1,3,5,4,4,3,1,4346,3,3,4,2,2,1,24,1007,1,1
mlphb,,NM_001079679.1,Endogenous,1,1,1,11,3,2,1,1,3,2,5,1,1,7,2,2,5,1,1,1,21453,1,1,1
mycl1a,,NM_212937.1,Endogenous,4,6,1,11,10,1,1,6,10,5,5,1,1,11,1,1,1,3,2,1,5,1,1,1
myo5aa,,XM_009293794.1,Endogenous,4,5,1,8,12,1,1,4,5,7,5,5,1,8,2,5,1,4,3,1,4,5,1,1
oca2,,XM_690715.7,Endogenous,1,1,1,8,2,5,1,1,4,3,1,1,1,1,3,2,5,1,1,1,7,2,1,2
otx2,,NM_131251.1,Endogenous,8,2,2,39043,3757,1,11,33334,44367,34541,19351,4,8371,32355,2,2,1,25199,21040,7571,49412,1,1,8965
pax3_v2,,XM_005163543.2,Endogenous,11,5,1,4,3,1,1,8,11,4,8,4,1,20,1,2,1,1,7,1,10,7,1,1
pax7a,,NM_131326.1,Endogenous,6,12,5,5,8,7,8,13,17,11,7,2,10,5,10,7,20,11,6,2,24,30,4,7
pax7b,,NM_001146149.1,Endogenous,23,24365,6,2118,25827,23,24885,15,23,22,25809,4,24063,12329,24,12,25866,22135,15966,16958,24322,20509,286,21259
phox2b,,NM_001014818.1,Endogenous,4673,59,29,13,32,10,32,21307,33,33,19,11,28,14387,556,21,32,13,7,18850,13916,19501,22,16
pnp4a,,NM_001002102.1,Endogenous,9,14,23,10,18,3,26,21,19,14,10,7,11,18,5,13,15,9,3,11,14,8,12,11
rpl13,,NM_198143.1,Endogenous,76798,94147,51006,73457,43364,59377,96935,94454,99299,120653,71182,43762,66233,62081,116346,78004,130818,81885,70050,36546,98304,61272,45609,86785
silva,,NM_001045330.1,Endogenous,1,1,1,6,1,1,1,1,4,1,3,1,1,10,1,1,8,1,1,1,36,1,1,1
slc24a5,,NM_001030280.1,Endogenous,1,1,1,4,1,2,1,1,3,6,13,1,3,14,1,4,13,5,4,5,17,1,1,2
smad9,,NM_001004014.1,Endogenous,15,17,4,12,18,14,14,7,28244,16,16,11,16,13,17,9,17,19,11,8,16,4,9,14
snail2,,XR_661767.1,Endogenous,21554,18261,1,29340,23451,110,1,3,12473,7,21864,2,20,8993,3,1,1,1,6,1,24,642,1,1
sox10,,NM_131875.1,Endogenous,1,3,1,6,8807,12,1,2,6,1,11813,4,1,3,2,3418,6,926,1,3,89,2,4,1
sox5,,NM_001033585.1,Endogenous,8,10,18,16,20,9,26,23,16,34,22,7,16,16,7,15,20,11,6,11,13,10,8,16
sox9b,,NM_131644.1,Endogenous,1,1,1,36170,9,1,1,1,27172,1,3,1,1,11988,2,1,24018,1,1,1,5,1,1,20154
tfap2a,,NM_176859.2,Endogenous,6,13825,1,19701,18887,1,1,24,11862,15857,9,7,1,20404,12983,18008,1,4,9,1,30011,4,11889,1
tfap2e,,NM_200821.1,Endogenous,7,13,7,4,6711,9,12,17,13,17475,7,4,5,13,14,11,9,8,1,4,9116,4,15,13
tfec,,NM_001030105.2,Endogenous,1,1,14,8,4,31349,1988,1,7276,6,24784,3,294,9351,26421,3,3675,533,993,24643,5,2,20032,181
tyr,,NM_131013.1,Endogenous,41,1,1,7,3,3,1,1,2229,15734,4,1,1,12561,29,28,8,4,8947,9590,11798,1,1,8
tyrp1b,,NM_001002749.1,Endogenous,23,9,8,10,12,20,12,15,30,19,14,9,14205,21,15,12,3683,17863,18,3,21,6,18460,14
NEG_A,,ERCC_00096.1,Negative,5,2,14,3,6,2,8,5,1,5,5,3,4,5,5,8,10,2,1,4,4,3,4,3
NEG_B,,ERCC_00041.1,Negative,4,1,1,2,6,1,5,1,6,2,2,1,2,1,7,3,7,7,3,1,3,4,3,6
NEG_C,,ERCC_00019.1,Negative,1,2,1,1,3,1,1,3,1,1,1,2,1,3,1,1,1,1,1,1,4,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,1,1,1,1,3,1
NEG_E,,ERCC_00098.1,Negative,3,7,5,5,7,3,6,10,4,9,7,3,5,4,3,7,4,5,7,7,4,6,4,3
NEG_F,,ERCC_00126.1,Negative,11,14,9,10,11,12,14,10,12,14,10,10,11,9,14,9,16,14,15,3,14,6,7,19
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,2,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,2,1,1,2,1,1,1,4,3,1,1,1,2,1,1,1,1,1,1,3,1,2,1
POS_A,,ERCC_00117.1,Positive,15202,16535,12897,12673,13572,14888,16780,17610,16897,17866,16611,10398,20786,17570,16630,15745,17790,21538,17630,19255,19827,18280,18476,22230
POS_B,,ERCC_00112.1,Positive,4008,4251,3506,3373,3364,3926,4321,4699,4587,4713,4601,2778,5054,4381,4142,4093,4688,5477,4073,4571,4790,4256,4510,5368
POS_C,,ERCC_00002.1,Positive,1144,1190,932,895,980,1085,1182,1307,1196,1316,1219,761,1396,1227,1068,1120,1247,1501,1043,1224,1277,1214,1204,1470
POS_D,,ERCC_00092.1,Positive,247,307,212,209,229,231,284,283,293,269,275,176,327,265,238,282,301,331,302,308,328,281,238,329
POS_E,,ERCC_00035.1,Positive,35,34,39,33,36,49,43,56,49,54,58,33,51,68,53,59,58,68,44,41,61,47,61,65
POS_F,,ERCC_00034.1,Positive,20,19,15,19,24,17,22,23,19,22,16,9,25,21,14,13,36,21,14,21,18,14,23,20
