Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160610_bath study 36hpf 26-06-16 strip1_ 1_01.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 2_02.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 3_03.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 4_04.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 5_05.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 6_06.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 7_07.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 8_08.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 9_09.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 10 _10.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 11_11.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 12_12.RCC
her9,,NM_131873.1,Endogenous,,46,2204,47,41,20,40,22,16,247,31,537,29
hmx1,,NM_001113526.1,Endogenous,,43815,177,60707,30,5,29540,36721,36900,34576,4270,5,4669
hmx4,,NM_001045371.1,Endogenous,,34223,42680,54414,48,2479,38879,39125,33234,31737,4400,11,55108
id2a,,NM_201291.1,Endogenous,,55093,45288,42773,61549,58633,30841,13,42994,51600,36783,524,52724
impdh1b,,NM_001014369.2,Endogenous,,29909,24563,41932,82020,24546,30708,21278,20476,27197,27710,10,28009
kita,,NM_131053.1,Endogenous,,23600,124,25386,29424,4,19269,21301,10653,28929,33778,5457,24956
ltk,,XM_005158786.2,Endogenous,,24,9231,4438,45169,6584,14,3673,20,10,5856,14,7084
mbpa,,XM_002665557.1,Endogenous,,19754,30464,24889,26,25625,24875,5,8,17279,34018,11,27607
mc1r,,NM_180970.1,Endogenous,,42985,51875,2395,44957,40587,31709,34587,37419,14,52693,9,4
mitfa,,NM_130923.1,Endogenous,,5369,8266,15007,24868,17485,20870,4,23979,21427,7277,24168,601
mlphb,,NM_001079679.1,Endogenous,,12,7,5,11,6,8,5,7,4,4,7,1
mycl1a,,NM_212937.1,Endogenous,,37082,102725,61546,28031,8,13,4,11,6,11,7,3
myo5aa,,XM_009293794.1,Endogenous,,23,16,9,18916,46918,23,6,13,15,22,6,942
oca2,,XM_690715.7,Endogenous,,10,4,10,6,2,3,6,3,2,9,21679,9
otx2,,NM_131251.1,Endogenous,,36224,2256,30251,24,10,31682,22121,48817,37703,37124,26,4
pax3_v2,,XM_005163543.2,Endogenous,,143,36,12,20117,18,26,8,24,12,33,4,208
pax7a,,NM_131326.1,Endogenous,,516,180,147,70350,162,12,65,12,34,38,7,1465
pax7b,,NM_001146149.1,Endogenous,,21836,40929,22142,17914,29939,26511,23129,28,28271,25799,28402,27017
phox2b,,NM_001014818.1,Endogenous,,30734,63,32551,223,34,31026,7075,29122,27138,32889,8,31904
pnp4a,,NM_001002102.1,Endogenous,,21,34,17,68938,33,17,11,19,19,18,6,26
rpl13,,NM_198143.1,Endogenous,,138626,202107,72387,85594,128370,74286,74181,102759,70817,102617,104463,167381
silva,,NM_001045330.1,Endogenous,,7,9,68,1294,7,3,11,5,85,7,6,325
slc24a5,,NM_001030280.1,Endogenous,,17,2,31,11,2,28,19,18,15,9,4,7
smad9,,NM_001004014.1,Endogenous,,35,54,126,35,71,22,14,16,21,21,10,27
snail2,,XR_661767.1,Endogenous,,54428,32818,47607,26744,19,46486,25457,29254,36972,40243,2,3
sox10,,NM_131875.1,Endogenous,,17,18,18265,18377,16,12663,15,5,9,7712,6,7918
sox5,,NM_001033585.1,Endogenous,,20,31,31,48,27,29,11,19,33,24,7,29
sox9b,,NM_131644.1,Endogenous,,38838,10,17,9,7,15,8,9,5,11,7,1
tfap2a,,NM_176859.2,Endogenous,,54,25,19,53,33,53,10,30,14,34,13,25
tfap2e,,NM_200821.1,Endogenous,,17,26,25,33,22,17,8,13,13,12,10,23
tfec,,NM_001030105.2,Endogenous,,36705,79734,55467,81846,45908,40352,37078,39267,766,42764,4,210
tyr,,NM_131013.1,Endogenous,,17084,5,18485,25849,115,18039,12361,9,18574,16111,3,7
tyrp1b,,NM_001002749.1,Endogenous,,29,41,20,29493,35,27,21,22,26,31,17,39
NEG_A,,ERCC_00096.1,Negative,,10,10,12,15,10,7,7,10,10,3,4,11
NEG_B,,ERCC_00041.1,Negative,,6,7,5,11,4,3,3,7,2,2,3,5
NEG_C,,ERCC_00019.1,Negative,,4,3,3,4,1,1,2,1,1,1,4,1
NEG_D,,ERCC_00076.1,Negative,,7,1,5,4,4,4,4,4,2,4,1,1
NEG_E,,ERCC_00098.1,Negative,,11,6,8,6,5,9,7,7,5,9,3,9
NEG_F,,ERCC_00126.1,Negative,,22,33,13,16,11,7,10,8,11,18,12,18
NEG_G,,ERCC_00144.1,Negative,,3,2,3,4,2,2,2,3,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,,8,2,4,10,7,6,2,3,5,9,2,5
POS_A,,ERCC_00117.1,Positive,,8791,12774,10866,11262,10864,9701,9865,11335,9723,10929,10616,13287
POS_B,,ERCC_00112.1,Positive,,2259,3358,2821,2948,2727,2340,2624,2953,2569,2795,2898,3189
POS_C,,ERCC_00002.1,Positive,,668,961,815,851,800,709,716,870,692,831,776,975
POS_D,,ERCC_00092.1,Positive,,159,207,166,207,186,148,174,225,170,223,190,245
POS_E,,ERCC_00035.1,Positive,,31,41,28,42,39,20,35,26,32,39,35,37
POS_F,,ERCC_00034.1,Positive,,19,22,14,34,16,17,20,16,14,12,12,8
