Gene Name,Annotation,Accession #,Class Name,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _01.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _02.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _03.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _04.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _05.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _06.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _07.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _08.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _09.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _10.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _11.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _12.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _01.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _02.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _03.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _04.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _05.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _06.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _07.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _08.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _09.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _10.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _11.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _12.RCC
ltk,,XM_005158786.2,Endogenous,3,1,13,50,26,3,2,14,2,14,20,6,19,10,11,21,6,6,17,3,46,12,9,14
mbpa,,XM_002665557.1,Endogenous,22794,2,27353,16292,41809,3,5,10,1,9698,7069,100,10,7,86,9,4,3349,13131,390,54775,967,43,19175
mc1r,,NM_180970.1,Endogenous,19,147,193,31541,2495,1,3584,77,1,27063,7917,8,7,99,15084,1,32706,6594,2641,1,1,4,2,8
mitfa,,NM_130923.1,Endogenous,1232,1,1,1305,229,1729,2,1,1,9,1457,1065,2,5,8,2,2174,35,3,24,7320,144,435,3749
mlphb,,NM_001079679.1,Endogenous,1,1,1,6,8,1,1,1,1,5,2,2,2,1,7,2,2,3,9,1,2,1,6,6
mycl1a,,NM_212937.1,Endogenous,2,2,2,24,15,1,1,1,1,6,4,3,6,1,3,1,4,5,1,1,1,6,1,2
myo5aa,,XM_009293794.1,Endogenous,4,1,2,16,11,2,1,1,1,9,3,8,1,1,14,1,9,2,1,1,1,3,1,9
oca2,,XM_690715.7,Endogenous,1,1,2,6,4,1,3,1,1,3,2,1,1,1,7,1,1,1,6,1,1,1,3,1
otx2,,NM_131251.1,Endogenous,8284,13802,41,46422,42277,390,3548,4,1,7947,11848,11,30795,1,3,1,2,14119,683,1,8,26101,9,3
pax3_v2,,XM_005163543.2,Endogenous,1,1,4,34,11,1,4,1,1,14,6,1,10662,1,21,1,33,4,32,1,1,4,1,37
pax7a,,NM_131326.1,Endogenous,5,2,15,36,44,3,10,7,1,14,53,14,16,4,7,14,2,3,731,2,26,4,3,9
pax7b,,NM_001146149.1,Endogenous,2,1,12,36158,40159,5,5,9,48,190,13434,16598,26530,10,7,16,5,2674,26658,122,21651,308,12132,46597
phox2b,,NM_001014818.1,Endogenous,9,5,21,76,27,6,10,16,4,19,17,11,26,16,26,15,10,3,31,10,35,33,11,14
pnp4a,,NM_001002102.1,Endogenous,14,6,12,25,15,8,5,17,9,28,17,13,24,67,30,17516,7,2,16,10,16,13,22,16
rpl13,,NM_198143.1,Endogenous,11687,15108,87602,163270,99278,21864,21722,57944,8621,63561,58330,24974,94720,64372,82552,99044,23773,11310,40622,15556,135452,31997,49665,47106
silva,,NM_001045330.1,Endogenous,1,1,1,9,10,1,1,1,1,9,1,2,1,1,12,1,1,1,3,1,1,1,4,6
slc24a5,,NM_001030280.1,Endogenous,1,1,4,15,17,3,5,3,1,21,3,2,1,4,20,4,1,5,31,6,1338,14,7,7
smad9,,NM_001004014.1,Endogenous,2,2,14,38,25,2,4,10,1,10,15,6,19,10,13,14,3,4,9,2,29,10,11,16
snail2,,XR_661767.1,Endogenous,10084,1,13434,13339,10648,1,2790,4678,1,9636,1441,14545,6,57,5,1,1,3780,4194,1,2,6200,1,10
sox10,,NM_131875.1,Endogenous,1,1,11487,11549,7459,5816,3726,2,1,11,4340,3,28,2789,11982,1,1,1386,16,57,7415,121,12,5
sox5,,NM_001033585.1,Endogenous,14,8,14,34,28,7,4,13,8,21,17,17,28,24,32,27,18,7,24,19,35,20,18,25
sox9b,,NM_131644.1,Endogenous,1,1,2,11376,20554,1,5332,45,1,379,16184,63,1,3,299,1,3309,3957,38037,2,1,2,17,86
tfap2a,,NM_176859.2,Endogenous,1,2,3130,30883,26305,1,6184,1,14,21962,20,27552,14,1,47934,1217,12,8106,15322,1,5,1,119,28780
tfap2e,,NM_200821.1,Endogenous,3,908,378,21043,57,30,2,5580,1,7,1788,4,195,9564,12,10,1009,558,16249,1,25,6,7,9
tfec,,NM_001030105.2,Endogenous,1,1,8,13,7,4,9,1,1,9,5,2,1,2,10,1,1,1,8,1,8,1,3,12
tyr,,NM_131013.1,Endogenous,224,1,2205,12441,18964,2,3900,2,1,16832,4456,718,1,1,15554,2,1,1103,254,1,76,4,12913,128
tyrp1b,,NM_001002749.1,Endogenous,9,1,8,49,40,6,5,7,1,13,12244,8,22,16,14,12,5,2,19,2,46,8,7,17
NEG_A,,ERCC_00096.1,Negative,9,2,7,12,8,1,1,1,1,11,6,3,11,3,17,8,2,1,11,4,6,7,7,10
NEG_B,,ERCC_00041.1,Negative,3,2,7,10,6,1,1,1,2,3,5,1,4,3,9,4,1,1,8,2,11,4,6,8
NEG_C,,ERCC_00019.1,Negative,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,2
NEG_D,,ERCC_00076.1,Negative,1,1,1,2,2,2,1,1,1,1,2,2,2,1,6,1,1,1,5,1,1,1,3,8
NEG_E,,ERCC_00098.1,Negative,3,4,4,15,7,3,3,4,5,7,6,4,12,6,11,3,6,2,5,9,11,9,9,11
NEG_F,,ERCC_00126.1,Negative,3,5,5,26,21,4,2,7,2,12,4,4,13,6,4,14,10,1,16,10,24,11,9,13
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,1,1,1,1,1,1,2,1,2
NEG_H,,ERCC_00154.1,Negative,1,2,2,7,2,1,1,1,1,3,1,2,2,1,5,1,1,1,3,1,2,1,1,1
POS_A,,ERCC_00117.1,Positive,20694,17920,19152,19844,20077,19261,4853,17593,19880,21554,17763,16992,29784,35583,37687,30607,27290,2288,29677,28471,33208,29751,33847,39530
POS_B,,ERCC_00112.1,Positive,5923,5290,5587,5674,5875,5672,1365,5152,5723,6121,5244,5090,7010,9739,10262,8492,7409,705,7769,7980,9283,7995,9264,10725
POS_C,,ERCC_00002.1,Positive,1679,1487,1532,1595,1584,1417,408,1312,1551,1587,1396,1312,1799,2495,2737,2176,2022,236,2022,2116,2399,2118,2345,2919
POS_D,,ERCC_00092.1,Positive,345,332,360,387,388,322,103,305,324,365,323,273,474,574,653,527,438,43,503,505,570,483,566,668
POS_E,,ERCC_00035.1,Positive,76,45,58,70,63,52,16,61,59,74,37,53,98,98,111,80,91,9,109,79,79,83,95,118
POS_F,,ERCC_00034.1,Positive,20,13,23,33,26,20,11,19,29,37,26,17,42,35,48,30,24,5,36,32,45,42,35,42
