Gene Name,Annotation,Accession #,20160407_bath study new 48hpf 2_ 13_01.RCC,20160407_bath study new 48hpf 2_ 14_02.RCC,20160407_bath study new 48hpf 2_ 15_03.RCC,20160407_bath study new 48hpf 2_ 16_04.RCC,20160407_bath study new 48hpf 2_ 17_05.RCC,20160407_bath study new 48hpf 2_ 18_06.RCC,20160407_bath study new 48hpf 2_ 19_07.RCC,20160407_bath study new 48hpf 2_ 20_08.RCC,20160407_bath study new 48hpf 2_ 21_09.RCC,20160407_bath study new 48hpf 2_ 22_10.RCC,20160407_bath study new 48hpf 2_ 23_11.RCC,20160407_bath study new 48hpf 2_ 24_12.RCC,20160407_bath study new 48hpf_ 10 _10.RCC,20160407_bath study new 48hpf_ 11_11.RCC,20160407_bath study new 48hpf_ 12_12.RCC,20160407_bath study new 48hpf_ 1_01.RCC,20160407_bath study new 48hpf_ 2_02.RCC,20160407_bath study new 48hpf_ 3_03.RCC,20160407_bath study new 48hpf_ 4_04.RCC,20160407_bath study new 48hpf_ 5_05.RCC,20160407_bath study new 48hpf_ 6_06.RCC,20160407_bath study new 48hpf_ 7_07.RCC,20160407_bath study new 48hpf_ 8_08.RCC,20160407_bath study new 48hpf_ 9_09.RCC
silva,,NM_001045330.1,10,1,1,1,11,1,18,3,1,1,1,6,1,12,1,1,17,1,1,1,6,5,5,1
slc24a5,,NM_001030280.1,5,1,3,1,2,1,12,6,1,1,1,3,1,5,1,1,10,1,1,1,59,1,3,1
smad9,,NM_001004014.1,56,23,30,8,54,16,52,57,38,3,24,50,3,28,41,36,36,12,41,29,31,5,30,5
snail2,,XR_661767.1,12,15,2,1,19,1,19,35,3,1,1,57,1,13,8,7,5,1,1,42,83800,1,54590,1
sox10,,NM_131875.1,37891,1,2,1,7,2,8,50328,1,1,2,5,1,19,2,1,38775,1,3,2,17117,30994,36840,1
sox5,,NM_001033585.1,51,61,45,21,53,78,128,128,58,1,68,153,17,75,84,26,66,16,37,91,38,40,76,14
sox9b,,NM_131644.1,65601,1,1,1,88704,1,143238,8,1,1,1,57814,1,73693,2,1,95193,1,1,2,12,3,428,1
tfap2a,,NM_176859.2,13,9,1,1,17,1,3,24,1,1,1,75,1,17999,5,3,26829,1,1,87,10,1,2,1
tfap2e,,NM_200821.1,19,19,38,1,36,10,26,39,26,2,13,35,2,16,33,27,22,10,24,30,24,4,17,1
tfec,,NM_001030105.2,22,1,1,1,5,1,13,22,1,1,1,2,1,11,1,1,14,1,1,1,12,6,11,1
tyr,,NM_131013.1,5,1,1,1,4,1,13,6,1,1,1,3,1,9,1,1,9,1,1,1,7087,2,2,1
tyrp1b,,NM_001002749.1,46,26,30,3,56,24,55,63,37,2,16,52,3,39,43,30,30,13,37,49,35,6,38,3
NEG_A,,ERCC_00096.1,12,11,8,3,17,18,35,30,9,3,14,35,3,22,21,11,8,1,8,26,5,9,20,1
NEG_B,,ERCC_00041.1,17,8,7,5,12,4,7,13,8,4,6,11,1,4,6,6,10,2,7,6,2,2,7,2
NEG_C,,ERCC_00019.1,1,2,1,1,2,1,6,1,1,1,1,7,1,1,1,1,2,1,1,1,1,1,3,1
NEG_D,,ERCC_00076.1,10,4,1,2,6,1,7,13,1,2,1,17,2,4,2,3,1,2,3,4,2,1,1,1
NEG_E,,ERCC_00098.1,10,15,13,10,17,25,34,23,11,5,20,23,9,20,29,8,24,6,6,18,11,14,22,7
NEG_F,,ERCC_00126.1,48,27,31,6,40,17,49,40,31,12,11,45,7,26,37,18,34,9,24,33,25,4,22,1
NEG_G,,ERCC_00144.1,3,3,1,1,4,1,2,3,1,1,1,15,1,4,1,1,1,1,1,5,2,1,1,1
NEG_H,,ERCC_00154.1,23,26,12,6,11,19,12,20,21,15,12,22,1,11,13,9,16,11,13,35,25,5,3,6
POS_A,,ERCC_00117.1,35801,39598,43999,41443,34866,36219,29732,36075,36226,42866,34170,30375,18003,12982,19949,18585,21092,15704,24813,15753,19617,16927,18132,8606
POS_B,,ERCC_00112.1,10614,12089,13419,12544,10354,10940,8998,11009,10947,13397,10704,9382,5976,4507,7004,5854,6751,5327,8300,5336,6669,5554,6114,2846
POS_C,,ERCC_00002.1,2944,3544,3872,3657,3064,3263,2595,3097,3019,3787,3090,2880,1785,1313,2089,1812,2047,1550,2375,1600,2028,1595,1824,826
POS_D,,ERCC_00092.1,669,729,885,856,716,710,630,697,714,901,699,602,393,292,455,390,493,367,529,358,422,364,413,190
POS_E,,ERCC_00035.1,125,112,152,111,113,110,80,113,97,120,99,100,51,42,56,44,64,53,73,52,60,40,64,24
POS_F,,ERCC_00034.1,71,67,58,55,42,72,67,68,46,42,59,78,25,22,61,26,43,28,45,45,33,31,39,14
