Gene Name,Annotation,Accession #,Class Name,20170517_bath study 24hpf 27-04-17 strip d tails_ _01.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _02.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _03.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _04.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _05.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _06.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _07.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _08.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _09.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _10.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _11.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _12.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _01.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _02.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _03.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _04.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _05.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _06.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _07.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _08.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _09.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _10.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _11.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _12.RCC
otx2,,NM_131251.1,Endogenous,19531,47456,50212,3,1,52256,47530,5,102489,8,104143,1,4,1,51889,1,56974,4,51507,72740,7856,1,1,5731
pax3_v2,,XM_005163543.2,Endogenous,5,31,58,12,1,32,15,25,22,33,63,1,15,1,16,1,37,14,47,39,6,1,1,2
pax7a,,NM_131326.1,Endogenous,12,21,13,6,10,19,2,7,31,19,25,1,6,1,14,1,10,2,20,23,5,2,2,14
pax7b,,NM_001146149.1,Endogenous,33003,30250,35,33627,12,20280,7,14,43811,3394,48538,1,36,2,29884,1,29543,2,36888,30889,4827,10,29,7461
phox2b,,NM_001014818.1,Endogenous,39595,37384,36499,46707,12,23518,45105,16,56427,44563,47976,14,62,8,31837,1,32400,21,33045,34731,6007,13,15311,26
pnp4a,,NM_001002102.1,Endogenous,30,16,27,15,11,30,20,16,30,21,41,5,15,3,16724,1,24,22,31,28,6,5,9,12
rpl13,,NM_198143.1,Endogenous,74835,89438,104423,81368,87030,49244,37669,7,94151,123926,128427,9478,84399,10893,54842,1,10487,7,43232,89758,48205,52154,12,96696
silva,,NM_001045330.1,Endogenous,9,6,20,17,1,15,5,1,10,3,19,1,6,1,4,1,6,4,22,14,2,1,1,1
slc24a5,,NM_001030280.1,Endogenous,10,37,34,40,1,44,10,1,62,10,65,1,5,1,21,1,46,37,59,40,7,1,1,5
smad9,,NM_001004014.1,Endogenous,20,25,23,22,14,29,3,14,37,36,42,1,12,1,11,1,15,1,25,17594,1259,21,9,34
snail2,,XR_661767.1,Endogenous,24410,12,41732,59556,1,45691,11,30997,12,48859,72734,1080,37202,1,22214,143,41047,1837,47414,43422,5870,1,1,7
sox10,,NM_131875.1,Endogenous,11509,16711,14080,8800,1,8721,13,2,11,17919,19249,1,10,1,5920,1,10607,194,13490,15210,4533,1,2,12707
sox5,,NM_001033585.1,Endogenous,24,33,37,25,14,43,23,6,35,29,40,8,13,8,30,1,21,17,33,30,8,12,7,14
sox9b,,NM_131644.1,Endogenous,41515,10,48945,52064,1,48189,46333,1,13,1658,56726,3,39678,1,12673,1,19869,5,47777,43634,6056,1,1,6963
tfap2a,,NM_176859.2,Endogenous,23085,33072,31958,217,1,34920,31192,20,50104,29168,49056,1,11,1,31504,1,31639,16,38156,32661,5812,1,1,4
tfap2e,,NM_200821.1,Endogenous,9942,14,25007,23180,4,19720,6,1,16,7965,37330,1,7,1,23910,1,22750,12265,28077,28108,5467,26264,85,948
tfec,,NM_001030105.2,Endogenous,19864,39659,41360,23286,2,31779,53736,6603,11,9,56277,1,21083,1,33425,1,34860,5,50035,28399,2463,2,1186,505
tyr,,NM_131013.1,Endogenous,7,20,32,24,1,12788,25,1,29000,274,32004,1,797,2,5944,1,22525,8,27289,24235,3322,3,8511,96
tyrp1b,,NM_001002749.1,Endogenous,22,31,26,24,22,33708,6,54517,51,42,45,2,20,3,21,1,23,2,25,60,18,14,8,23
NEG_A,,ERCC_00096.1,Negative,5,12,13,1,2,17,3,4,14,14,27,4,7,4,7,3,13,7,17,23,12,4,4,6
NEG_B,,ERCC_00041.1,Negative,4,4,3,5,5,5,1,8,6,5,10,1,5,1,6,1,4,1,4,7,1,3,1,6
NEG_C,,ERCC_00019.1,Negative,2,1,4,1,1,2,1,2,1,2,6,2,1,1,3,1,2,1,5,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,4,4,10,1,7,4,1,1,1,10,1,3,1,5,1,6,3,6,8,1,1,1,1
NEG_E,,ERCC_00098.1,Negative,11,3,11,5,4,4,11,4,13,6,18,2,4,1,10,1,8,4,14,11,8,2,2,4
NEG_F,,ERCC_00126.1,Negative,18,15,19,15,8,8,8,5,23,26,29,6,11,4,13,1,7,1,12,19,8,15,4,25
NEG_G,,ERCC_00144.1,Negative,1,5,4,1,1,2,1,3,4,2,8,1,1,1,3,1,1,2,7,5,3,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,4,6,1,1,8,4,2,5,6,17,1,1,1,2,1,11,6,5,6,2,1,1,1
POS_A,,ERCC_00117.1,Positive,14843,14891,15824,16232,15749,11174,18392,19861,22003,17641,15329,16966,18450,14068,15603,13196,13845,19291,15808,14696,12759,18126,17642,24607
POS_B,,ERCC_00112.1,Positive,3833,4001,4544,4372,4408,3240,4957,5521,6077,4872,4295,4477,4536,3496,4006,3578,3570,5165,4114,3881,3408,4542,4545,6320
POS_C,,ERCC_00002.1,Positive,1114,1190,1244,1200,1211,917,1391,1563,1673,1324,1138,1243,1261,991,1120,1006,974,1357,1098,1078,968,1275,1269,1738
POS_D,,ERCC_00092.1,Positive,281,279,308,281,272,207,339,356,387,327,279,275,329,251,227,228,230,302,269,260,234,283,288,409
POS_E,,ERCC_00035.1,Positive,52,40,56,59,41,31,63,61,65,57,57,47,57,34,48,43,46,49,45,42,33,55,52,94
POS_F,,ERCC_00034.1,Positive,22,30,25,34,20,27,26,21,21,33,28,21,19,18,19,11,18,21,26,18,19,22,18,25
