Gene Name,Annotation,Accession #,Class Name,20170601_bath study 24hpf 05-05-17 strip a tails_ _01.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _02.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _03.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _04.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _05.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _06.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _07.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _08.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _09.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _10.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _11.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _12.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _01.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _02.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _03.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _04.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _05.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _06.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _07.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _08.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _09.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _10.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _11.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _12.RCC
id2a,,NM_201291.1,Endogenous,5322,10890,13639,4831,26,13,3,2,25369,14474,23861,2113,13377,13387,659,6716,37,3,7431,26604,15928,2161,14068,4
impdh1b,,NM_001014369.2,Endogenous,3324,9,3,4,69,4,62,7076,19236,8437,21587,3,7408,6,80,2,3,1,7,11629,15251,2811,13282,15
kita,,NM_131053.1,Endogenous,2217,195,41,6936,8557,1,1,1,8712,16141,11598,1,8385,7,13873,1,978,1,1,1,16279,12498,853,3
ltk,,XM_005158786.2,Endogenous,1,7,2,6,4,3,4,1,7,1,12,28,1,4,2,1,4,1,1,5,7,2,3,4
mbpa,,XM_002665557.1,Endogenous,1,5,417,684,11065,2,11098,3,10500,6364,19750,6,5745,2221,3,947,2,1,1,341,652,17489,18,2891
mc1r,,NM_180970.1,Endogenous,7,21301,1,1,3,1,16294,2771,16753,21062,26764,8,9579,2,2,1746,1,3,17585,1,30662,1032,174,2
mitfa,,NM_130923.1,Endogenous,3347,10446,148,1,9484,1,1,1,21839,3839,5703,1,2381,84,1,1,1,1,5,5,3514,2034,8,2829
mlphb,,NM_001079679.1,Endogenous,1,1,1,3,1,1,1,1,1,2,4,1,2,1,1,1,1,1,3,1,6,1,1,2
mycl1a,,NM_212937.1,Endogenous,3098,8,1,1,2,1,1,1,13,9,2,1,4,2,1,1,1,1,1,2,5,2,1,1
myo5aa,,XM_009293794.1,Endogenous,4,6,1,1,5,1,3,1,9,11,7,1,3,1,3,1,1,1,1,2,9,2,2,4
oca2,,XM_690715.7,Endogenous,1,1,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,4,1,1,1
otx2,,NM_131251.1,Endogenous,8926,16335,1,6196,15482,1,8,61,27590,30756,25287,1,18485,3,12445,1,15608,3051,1,19685,22259,20069,1,1740
pax3_v2,,XM_005163543.2,Endogenous,4,11,1,1,1,1,5,1,18,16,17,2,2,1,1,1,1,1,2,3,14,1,2,2
pax7a,,NM_131326.1,Endogenous,1,2,1,2,1,1,5,1,12,2,18,2,6,1,1,1,4,2,1,2,3,7,1,4
pax7b,,NM_001146149.1,Endogenous,1,11780,2012,37,6,5,5,4,7,300,16785,6755,9659,12123,8854,3787,84,2,1,689,10276,10909,2734,1494
phox2b,,NM_001014818.1,Endogenous,3,5,5,7,10,1,2,5,22,11,18,1,7,2,3,4,6,1,4,11,20,3,11,6
pnp4a,,NM_001002102.1,Endogenous,5,4,6,1,5,4,2,2,9,9,6,6,5,3,2,6,5,1,2,7,9,3,10,4
rpl13,,NM_198143.1,Endogenous,6087,22165,12327,50793,26523,16523,21017,13739,37615,7718,52849,91993,12563,14113,19116,1,23178,27,267,14012,21057,29098,8158,15182
silva,,NM_001045330.1,Endogenous,1,1,1,1,1,1,1,1,1,3,15,1,1,5,1,1,1,1,4,1,7,1,1,2
slc24a5,,NM_001030280.1,Endogenous,1,1,1,4,1,1,1,1,16,14,14,1,5,4,5,1,1,1,1,1,16,2,1,5
smad9,,NM_001004014.1,Endogenous,2,2,2,9,5,3,6,2,7,3,10,5,4,4,10,1,1,3,1,1,3,6,1,2
snail2,,XR_661767.1,Endogenous,2821,2,1,12,13559,1,49,3216,9574,13324,7631,2596,11322,10894,1,1,2,1,1,5,17956,323,12643,8316
sox10,,NM_131875.1,Endogenous,1498,1,1,1,4,1,1,1,6505,4162,10346,6243,4818,1,158,1,1,1,92,315,6485,4158,1,5509
sox5,,NM_001033585.1,Endogenous,3,5,3,6,6,7,1,1,12,7,27,1,2,4,1,5,10,1,3,6,8,6,5,3
sox9b,,NM_131644.1,Endogenous,1,22,1,2,2,1,4,1,10129,145,19264,16,8953,3,2,1,1,1,3,1,22704,24,6,5
tfap2a,,NM_176859.2,Endogenous,2607,11,1,335,4,48,3,1,12934,23483,17372,9766,11448,1,41,1,1,1,3,1,19639,17491,8491,8960
tfap2e,,NM_200821.1,Endogenous,267,1,2,3,5385,1,1,2,4341,3,6919,4773,5233,2,3,1,637,2,1,1,12238,1679,6,1
tfec,,NM_001030105.2,Endogenous,1,1,1,1,1,1,1,1,5,9,9,1,3,1,2,1,1,1,1,1,3,1,1,1
tyr,,NM_131013.1,Endogenous,1,8717,1,587,7294,471,1,5,2,16293,10233,1,5697,2,7,1,1725,6,1,1,13269,8446,1,1
tyrp1b,,NM_001002749.1,Endogenous,1,14,1,5,5,3,3,2,22443,2,10,8,7,3,5,1,3,3,1,1,6,3,1,4
NEG_A,,ERCC_00096.1,Negative,1,1,1,2,1,1,1,3,4,4,7,1,1,3,1,1,2,1,2,4,3,3,3,3
NEG_B,,ERCC_00041.1,Negative,1,1,2,1,1,1,1,1,2,1,1,7,1,1,5,1,1,1,1,1,3,7,1,1
NEG_C,,ERCC_00019.1,Negative,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1
NEG_E,,ERCC_00098.1,Negative,1,1,1,3,3,1,3,1,4,6,5,3,1,2,3,1,1,1,1,1,3,1,2,6
NEG_F,,ERCC_00126.1,Negative,1,7,1,1,3,6,2,1,5,3,12,8,1,2,6,1,2,1,1,1,3,5,2,1
NEG_G,,ERCC_00144.1,Negative,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,1,1,1,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,1,3,1,1,1
POS_A,,ERCC_00117.1,Positive,3543,8566,8012,8314,8358,7556,7770,9481,9347,11176,10343,9740,6480,10252,11706,7981,8317,9799,10957,10022,10935,10551,10417,11165
POS_B,,ERCC_00112.1,Positive,931,2214,2190,2206,2305,2061,1991,2619,2490,2974,2830,2680,1686,2578,3078,2019,2175,2641,2786,2629,2825,2762,2837,2909
POS_C,,ERCC_00002.1,Positive,288,631,608,649,597,550,579,717,676,846,836,881,439,725,848,576,646,758,794,748,700,706,741,814
POS_D,,ERCC_00092.1,Positive,62,132,153,142,149,110,124,147,158,198,188,162,100,164,173,130,134,172,188,148,169,201,173,182
POS_E,,ERCC_00035.1,Positive,15,31,39,18,30,19,17,22,25,38,47,30,22,25,33,21,22,29,27,22,26,29,28,23
POS_F,,ERCC_00034.1,Positive,4,12,11,14,10,6,7,11,10,7,10,10,9,7,8,6,9,9,16,11,13,9,11,9
