Gene Name,Annotation,Accession #,Class Name,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _01.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _02.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _03.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _04.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _05.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _06.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _07.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _08.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _09.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _10.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _11.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _12.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _01.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _02.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _03.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _04.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _05.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _06.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _07.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _08.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _09.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _10.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _11.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _12.RCC
id2a,,NM_201291.1,Endogenous,6,8503,1,10914,7010,2,7166,1,14993,12881,12716,1,38642,964,4,9,21228,7915,12,20,82,20240,79,6
impdh1b,,NM_001014369.2,Endogenous,2,1,1,5921,4381,1,2,489,13677,11607,3,1,24228,21522,1062,16841,4,25,10133,24,3,5,6,8
kita,,NM_131053.1,Endogenous,1,1,1,40,1485,1654,1,1,13580,1,7,1,17157,141,17179,1507,2986,22827,8920,1,1,10,1,1
ltk,,XM_005158786.2,Endogenous,3,2,3,2741,40,5,4,3,2869,301,3,1,4060,16,10,16,3,27,15,13,50,12,12,1
mbpa,,XM_002665557.1,Endogenous,2,4540,2,5,1,3,4,1,5767,2,2,1,19647,12,3565,14605,19468,5196,69,10,18012,18657,7,1
mc1r,,NM_180970.1,Endogenous,1,2,1,1,1,7,255,1,13951,1,1,1,33757,13,18476,1,2527,2,17016,1,3,5460,1,4
mitfa,,NM_130923.1,Endogenous,1,10567,1,7,1,14840,2469,1,2902,1,1,1,5695,10,17829,4365,2,85,1,2,601,1,1,1
mlphb,,NM_001079679.1,Endogenous,1,1,1,1,1,1,2,1,2,1,1,1,19,5,2,5,1,1,2,1,1,1,1,1
mycl1a,,NM_212937.1,Endogenous,1,1,1,2,1,1,1,1,3,1,1,1,8,5,6,1,1,5,1,5,3,3,1,1
myo5aa,,XM_009293794.1,Endogenous,1,2,1,1,1,5,1,2,4,1,1,1,14,6,10,3,7,3,5,1,2,1,1,2
oca2,,XM_690715.7,Endogenous,1,1,1,1,1,1,1,1,1,1,2,1,4,4,2,1,1,2,1,1,1,1,1,1
otx2,,NM_131251.1,Endogenous,1,1,1,4120,1,1,8,606,15604,1,4787,1,40478,4,36940,3293,2,31693,1,3792,16811,1,1,1
pax3_v2,,XM_005163543.2,Endogenous,1,2,1,1,1,5,1,2,3,1,1,1,21,13,11,1,6,1,8,2,1,1,1,1
pax7a,,NM_131326.1,Endogenous,2,2,4,3,1,2,1,1,2,2,2,1,11,10,5,14,5,1,12,9,5,8,9,1
pax7b,,NM_001146149.1,Endogenous,2,5,5,14611,3,4,7808,3,13271,10616,3403,65,27227,21054,8,21963,2,145,2180,2,7,3673,9,1
phox2b,,NM_001014818.1,Endogenous,4,2,1,7,5453,3,3,1,13827,14,11363,101,29042,25,90,20482,16,4,14,28,14,5,7,16262
pnp4a,,NM_001002102.1,Endogenous,6,3,2,1,5,2,2,1,6,6,4,2,21,14,6,14,5,6,7,13,8,6,9,8
rpl13,,NM_198143.1,Endogenous,34172,38149,42987,57784,14354,30337,28805,6515,10057,35678,11040,15269,41464,64224,18900,67157,5,3,46720,59997,32403,33677,56393,1
silva,,NM_001045330.1,Endogenous,1,1,1,1,1,1,1,1,3,1,1,1,9,19,1,3,1,1,2,1,1,1,1,1
slc24a5,,NM_001030280.1,Endogenous,1,1,1,1,1,1,1,1,4,2,9,1,23,9,3,4,1,4,2,1,1,1,1,1
smad9,,NM_001004014.1,Endogenous,1,4,2,11,1,2,4,2,3,3,6,2,13,19,6,4,3,1,9,8,10,10,9,1
snail2,,XR_661767.1,Endogenous,1,1,1,1,1,1,1,1,19796,1,1,1,32102,10467,291,1,5,4,1,19390,16606,1,1,1
sox10,,NM_131875.1,Endogenous,1,1,1,988,5,1,2,1,3754,1,2104,1,13079,6,2,7342,2376,1,6,1,1,1,1,1
sox5,,NM_001033585.1,Endogenous,7,1,3,5,1,1,5,3,4,7,4,1,26,5,3,10,11,8,12,19,9,10,2,7
sox9b,,NM_131644.1,Endogenous,1,1,1,1,1,13929,2091,1,8073,1,1,5259,42215,23692,8854,3,1,1,1,1,1,1,1,1
tfap2a,,NM_176859.2,Endogenous,353,3,1,9394,1,2,7126,10888,13373,1,310,1,27788,20623,3961,1,22059,13225,2,3,12951,4,1,2
tfap2e,,NM_200821.1,Endogenous,3,3,5,7,1,1,2,3,2,7,1,1,13264,11,7,12,10835,1,9911,4,6,6,6,1
tfec,,NM_001030105.2,Endogenous,1,1,1,1,10453,32,13665,1,13499,1,57,5292,27193,5,1160,25067,60,1,21643,1,48,1,1,1
tyr,,NM_131013.1,Endogenous,1,1,1,1,2,1,1,1,9625,2,2,1,18747,6,2,4,4,2,1,1,1,1,1,1
tyrp1b,,NM_001002749.1,Endogenous,4,7,1,10,1,1,4,4,4,1,3,5,26,16,9,26,1,2,11,7,9,20888,9,1
NEG_A,,ERCC_00096.1,Negative,1,1,2,1,2,6,1,1,3,3,3,1,19,6,5,1,1,1,4,5,1,2,2,3
NEG_B,,ERCC_00041.1,Negative,1,2,2,4,1,1,1,1,2,3,1,1,4,2,1,1,2,1,1,5,4,1,2,1
NEG_C,,ERCC_00019.1,Negative,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
NEG_E,,ERCC_00098.1,Negative,3,1,1,1,3,2,1,1,1,4,1,1,8,7,2,5,7,3,7,5,3,4,4,1
NEG_F,,ERCC_00126.1,Negative,3,5,2,10,1,2,4,1,4,2,4,1,10,8,6,9,4,5,9,7,3,11,9,2
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,2,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,2,1,2,1,1,1
POS_A,,ERCC_00117.1,Positive,9720,10026,9732,10769,8590,7327,7634,8094,7945,8517,7918,4692,16428,17824,15951,15508,17285,16997,16390,16789,16084,15929,16497,16311
POS_B,,ERCC_00112.1,Positive,2786,2806,2638,2990,2390,2098,1908,2023,2150,2349,2167,1274,4063,4622,4068,3870,4476,4396,3996,4444,3986,4083,4512,4146
POS_C,,ERCC_00002.1,Positive,756,789,756,870,690,544,578,594,608,647,606,357,1108,1184,1142,1067,1241,1195,1115,1166,1094,1049,1166,1096
POS_D,,ERCC_00092.1,Positive,193,173,192,191,145,125,139,133,156,147,138,87,282,301,249,239,274,255,230,273,243,231,232,263
POS_E,,ERCC_00035.1,Positive,28,23,33,41,27,21,19,21,22,31,32,9,46,55,61,51,44,46,53,51,48,49,47,38
POS_F,,ERCC_00034.1,Positive,11,11,7,6,7,11,5,6,7,6,10,7,18,16,15,22,18,23,17,19,15,10,12,14
