Gene Name,Annotation,Accession #,Class Name,20160914_bath study mixed _48HPF_07_04(08_04_indexed)_sample_61 _01.RCC,20160914_bath study mixed _ 48HPF_07_04(08_04_indexed)_sample_62_02.RCC,20160914_bath study mixed _ 30HPF_13_04_sample_61_03.RCC,20160914_bath study mixed _30HPF_13_04_sample_62 _04.RCC,20160914_bath study mixed _30HPF_13_04_sample_63 _05.RCC,20160914_bath study mixed _30HPF_13_04_sample_64 _06.RCC,20160914_bath study mixed _30HPF_13_04_sample_65 _07.RCC,20160914_bath study mixed _ 30HPF_13_04_sample_66_08.RCC,20160914_bath study mixed _24HPF_06_04_sample_61 _09.RCC,20160914_bath study mixed _ 24HPF_06_04_sample_62_10.RCC,20160914_bath study mixed _24HPF_06_04_sample_63 _11.RCC,20160914_bath study mixed _ 24HPF_06_04_sample_64_12.RCC,,,,,,,,,,,,,,,,,,,,,,,,,
mitfa,,NM_130923.1,Endogenous,11,1,6,1,2,3,7,1,1,19624,23377,1,,,,,,,,,,,,,,,,,,,,,,,,,
mlphb,,NM_001079679.1,Endogenous,5,1,5,1,1,24809,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
mycl1a,,NM_212937.1,Endogenous,95175,1,6,1,1,3,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
myo5aa,,XM_009293794.1,Endogenous,17,1,3479,1,1,3,5,1,1,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
oca2,,XM_690715.7,Endogenous,6,1,4,2,1,5,2,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
otx2,,NM_131251.1,Endogenous,18,1,32949,1,1,1,3,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
pax3_v2,,XM_005163543.2,Endogenous,20,1,4,1,1,2,11,1,1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
pax7a,,NM_131326.1,Endogenous,16,6,7,5,3,5,12,66573,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
pax7b,,NM_001146149.1,Endogenous,37,14,4405,4680,4,13573,4871,18435,9,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,
phox2b,,NM_001014818.1,Endogenous,82,26,24,44,7,48,38,8609,6,10,29,17,,,,,,,,,,,,,,,,,,,,,,,,,
pnp4a,,NM_001002102.1,Endogenous,24,26,14,18,5,15,21,51,9,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
rpl13,,NM_198143.1,Endogenous,197417,74434,98842,26885,28711,20974,33048,142272,50423,29199,46043,61418,,,,,,,,,,,,,,,,,,,,,,,,,
silva,,NM_001045330.1,Endogenous,7,1,5,1,1,13,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
slc24a5,,NM_001030280.1,Endogenous,2,4,19,1,1,13,14,15,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
smad9,,NM_001004014.1,Endogenous,27,18,11878,15,3,11,13,29,6,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,
snail2,,XR_661767.1,Endogenous,12262,1,4,1,9681,19037,6,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
sox10,,NM_131875.1,Endogenous,18689,1,1,1297,750,3,8,16628,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
sox5,,NM_001033585.1,Endogenous,47,35,26,15,8,10,31,19,7,8,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
sox9b,,NM_131644.1,Endogenous,5718,1,549,7967,440,13,9490,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
tfap2a,,NM_176859.2,Endogenous,8992,1,10756,871,1,2286,24945,1,1,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
tfap2e,,NM_200821.1,Endogenous,17,3,9,6,3,5476,13372,22,4,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
tfec,,NM_001030105.2,Endogenous,13,1,5682,1,555,7,1092,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
tyr,,NM_131013.1,Endogenous,4,1,1593,84,1,3794,20378,745,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
tyrp1b,,NM_001002749.1,Endogenous,36,6,24,15,2,9,8,34,5,36322,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_A,,ERCC_00096.1,Negative,11,5,3,10,3,10,10,11,2,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_B,,ERCC_00041.1,Negative,4,6,7,3,1,1,3,4,4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_C,,ERCC_00019.1,Negative,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_D,,ERCC_00076.1,Negative,6,1,1,1,1,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_E,,ERCC_00098.1,Negative,13,5,3,7,3,4,4,6,4,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_F,,ERCC_00126.1,Negative,17,10,13,6,2,3,5,23,8,3,10,12,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_G,,ERCC_00144.1,Negative,1,1,2,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_H,,ERCC_00154.1,Negative,7,4,9,5,5,6,14,14,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
POS_A,,ERCC_00117.1,Positive,15724,12783,14479,13403,11535,9319,15359,16029,19039,15712,16382,13435,,,,,,,,,,,,,,,,,,,,,,,,,
POS_B,,ERCC_00112.1,Positive,4556,3660,4426,3915,3274,2839,4291,4600,4794,3988,4366,3834,,,,,,,,,,,,,,,,,,,,,,,,,
POS_C,,ERCC_00002.1,Positive,1244,1077,1216,1127,1010,773,1300,1302,1413,1068,1240,1196,,,,,,,,,,,,,,,,,,,,,,,,,
POS_D,,ERCC_00092.1,Positive,280,298,311,279,254,176,313,300,312,245,294,251,,,,,,,,,,,,,,,,,,,,,,,,,
POS_E,,ERCC_00035.1,Positive,33,47,52,32,28,27,34,44,62,53,46,52,,,,,,,,,,,,,,,,,,,,,,,,,
POS_F,,ERCC_00034.1,Positive,21,26,27,11,9,19,25,22,16,15,23,14,,,,,,,,,,,,,,,,,,,,,,,,,
